"","season","head_coach","conference","record","win_perc"
"1","2025","Hailey Post","Lone Star","5-3-0",0.625
"2","2024","Hailey Post","Lone Star","18-34-0",0.346
"3","2023","Leah Glasgow","Lone Star","27-28-0",0.491
"4","2022","Leah Glasgow","Lone Star","18-27-0",0.4
"5","2021","Leah Glasgow","Lone Star","17-21-0",0.447
"6","2020","Leah Glasgow","Lone Star","12-11-0",0.522
"7","2019","Meghan Mullin","Heartland","15-28-0",0.349
"8","2018","Meghan Mullin","Heartland","7-45-0",0.135
"9","2017","Meghan Mullin","Heartland","19-33-0",0.365
"10","2016","Lindsay Gardner","Heartland","26-24-0",0.52
"11","2015","Lindsay Gardner","Heartland","27-22-0",0.551
"12","2014","Lindsay Gardner","Heartland","33-26-0",0.559
"13","2013","Lindsay Gardner","Heartland","33-23-0",0.589
"14","2012","Lindsay Gardner","Heartland","31-21-0",0.596
"15","2011","Amy Coulter","Heartland","25-30-0",0.455
"16","2010","Amy Coulter","Heartland","34-21-0",0.618
"17","2009","Amy Coulter","Heartland","41-19-0",0.683
"18","2008","Amy Coulter","Heartland","53-17-0",0.757
"19","2007","Amy Coulter","Heartland","43-18-0",0.705
"20","2006","Amy Coulter","Heartland","45-22-0",0.672
"21","2005","Amy Coulter","Heartland","27-31-0",0.466
"22","2004","Amy Coulter","Heartland","25-26-0",0.49
"23","2003","Amy Coulter","-","30-30-0",0.5
"24","2002","Donny Bruce","-","23-33-0",0.411
"25","2001","Rose Ruffino","-","20-24-1",0.456
"26","1900","Jody Fillpot","-","34-21-0",0.618
"27","1999","Jody Fillpot","-","47-19-0",0.712
"28","1998","Jody Fillpot","-","31-21-0",0.596
"29","1997","Jody Fillpot","-","11-37-0",0.229
"30","1996","Phil Koehler","-","16-27-0",0.372
"31","1995","Phil Koehler","-","32-14-0",0.696
"32","1994","Phil Koehler","-","21-19-0",0.525
"33","1993","Phil Koehler","-","21-23-0",0.477
"34","1992","Phil Koehler","-","32-8-0",0.8
"35","1991","Phil Koehler","-","22-18-0",0.55
"36","1990","Phil Koehler","-","31-13-0",0.705
"37","1989","Phil Koehler","-","22-14-0",0.611
