"","season","head_coach","conference","record","win_perc"
"1",2025,"Beth Curtiss","PAC","7-7-0",0.5
"2",2024,"Beth Curtiss","PAC","26-12-0",0.684
"3",2023,"Beth Curtiss","PAC","24-12-0",0.667
"4",2022,"Beth Curtiss","NCAC","11-20-1",0.355
"5",2021,"Beth Curtiss","NCAC","4-18-0",0.182
"6",2020,"Beth Curtiss","NCAC","0-4-0",0
"7",2019,"Beth Curtiss","NCAC","8-23-1",0.258
"8",2018,"Beth Curtiss","NCAC","18-15-0",0.545
"9",2017,"Beth Curtiss","NCAC","10-24-0",0.294
"10",2016,"Beth Curtiss","NCAC","9-21-0",0.3
"11",2015,"Beth Curtiss","NCAC","15-14-1",0.517
"12",2014,"Beth Curtiss","NCAC","13-22-0",0.371
"13",2013,"Beth Curtiss","NCAC","24-20-0",0.545
"14",2012,"Sandra Sanford","NCAC","27-11-1",0.711
"15",2011,"Sandra Sanford","NCAC","7-21-0",0.25
"16",2010,"Sandra Sanford","NCAC","12-21-0",0.364
"17",2009,"Sandra Sanford","NCAC","24-18-0",0.571
"18",2008,"Sandra Sanford","NCAC","24-15-0",0.615
"19",2007,"Sandra Sanford","NCAC","19-19-0",0.5
"20",2006,"Sandra Sanford","NCAC","19-21-0",0.475
"21",2005,"Sandra Sanford","NCAC","21-18-0",0.538
"22",2004,"Sandra Sanford","NCAC","23-16-0",0.59
"23",2003,"Renee Hicks","NCAC","16-22-1",0.421
"24",2002,"Renee Hicks","NCAC","22-15-0",0.595
"25",2001,"Renee Hicks","-","13-22-0",0.371
"26",2000,"Renee Hicks","-","18-24-0",0.429
"27",1999,"Deb Peffer","-","20-18-1",0.526
"28",1998,"Deb Peffer","-","17-20-0",0.459
"29",1997,"Deb Peffer","-","22-21-0",0.512
"30",1996,"Deb Peffer","-","30-14-0",0.682
"31",1995,"Michelle Fagnant","-","39-10-0",0.796
"32",1994,"Michelle Fagnant","-","34-6-0",0.85
"33",1993,"Shelley Monas","-","27-13-0",0.675
"34",1992,"Shelley Monas","-","22-12-0",0.647
"35",1991,"Shelley Monas","-","13-21-0",0.382
"36",1990,"Sheilah Gulas","-","26-12-0",0.684
"37",1989,"Sheilah Gulas","-","31-10-0",0.756
"38",1988,"Sheilah Gulas","-","38-5-0",0.884
"39",1987,"Sheilah Gulas","-","25-12-0",0.676
