"","season","head_coach","conference","record","win_perc"
"1",2025,"JoAnne Ferguson","SCIAC","11-4-0",0.733
"2",2024,"JoAnne Ferguson","SCIAC","18-20-0",0.474
"3",2023,"JoAnne Ferguson","SCIAC","23-18-0",0.561
"4",2022,"JoAnne Ferguson","SCIAC","21-22-0",0.488
"5",2021,"JoAnne Ferguson","SCIAC","0-0-0",NA
"6",2020,"JoAnne Ferguson","SCIAC","4-7-0",0.364
"7",2019,"JoAnne Ferguson","SCIAC","31-12-1",0.721
"8",2018,"JoAnne Ferguson","SCIAC","27-16-0",0.628
"9",2017,"JoAnne Ferguson","SCIAC","13-27-0",0.325
"10",2016,"JoAnne Ferguson","SCIAC","14-26-0",0.35
"11",2015,"JoAnne Ferguson","SCIAC","17-23-0",0.425
"12",2014,"JoAnne Ferguson","SCIAC","9-30-0",0.231
"13",2013,"JoAnne Ferguson","SCIAC","11-26-0",0.297
"14",2012,"JoAnne Ferguson","SCIAC","22-19-0",0.537
"15",2011,"JoAnne Ferguson","SCIAC","16-23-0",0.41
"16",2010,"JoAnne Ferguson","SCIAC","12-21-0",0.364
"17",2009,"JoAnne Ferguson","SCIAC","11-27-0",0.289
"18",2008,"JoAnne Ferguson","SCIAC","21-19-0",0.525
"19",2007,"JoAnne Ferguson","SCIAC","15-24-1",0.385
"20",2006,"Eli Koenn-Bollinger","SCIAC","11-23-0",0.324
"21",2005,"Eli Koenn-Bollinger","SCIAC","2-23-0",0.08
"22",2004,"Eli Koenn-Bollinger","SCIAC","0-27-0",0
"23",2003,"Eli Koenn-Bollinger","SCIAC","0-33-0",0
"24",2002,"Eli Koenn-Bollinger","SCIAC","4-33-0",0.108
"25",2000,"Kristen Martini","-","4-32-0",0.111
"26",1999,"Kristen Martini","-","7-26-0",0.212
"27",1998,"Kristen Martini","-","10-24-0",0.294
"28",1997,"Tim Marshall","-","16-18-0",0.471
"29",1994,"James Laudermilk","-","11-23-0",0.324
