"","season","head_coach","conference","record","win_perc"
"1",2025,"Kara Dressel","NWC","4-17-0",0.19
"2",2024,"Kara Dressel","NWC","7-27-0",0.206
"3",2023,"Kara Dressel","NWC","10-24-0",0.294
"4",2022,"Kara Dressel","NWC","4-32-0",0.111
"5",2021,"Kara Dressel","NWC","10-22-0",0.312
"6",2020,"Kara Dressel","NWC","4-5-0",0.444
"7",2019,"Kellyn Tate","NWC","4-35-0",0.103
"8",2018,"Kellyn Tate","NWC","10-22-1",0.312
"9",2017,"Kellyn Tate","NWC","12-26-0",0.316
"10",2016,"Kellyn Tate","NWC","10-28-0",0.263
"11",2015,"Kellyn Tate","NWC","4-36-0",0.1
"12",2014,"Kellyn Tate","NWC","3-31-0",0.088
"13",2013,"Kellyn Tate","NWC","2-37-0",0.051
"14",2012,"Jennifer Peterson","NWC","3-31-0",0.088
"15",2011,"Jennifer Peterson","NWC","11-27-0",0.289
"16",2010,"Jennifer Peterson","NWC","13-27-0",0.325
"17",2009,"Jennifer Peterson","NWC","16-24-0",0.4
"18",2008,"Robin Hamilton","NWC","11-23-0",0.324
"19",2007,"Robin Hamilton","NWC","23-17-0",0.575
"20",2006,"Robin Hamilton","NWC","24-14-1",0.632
"21",2005,"Robin Hamilton","NWC","18-19-0",0.486
"22",2004,"Robin Hamilton","NWC","15-21-0",0.417
"23",2003,"Robin Hamilton","-","13-20-0",0.394
"24",2002,"Robin Hamilton","-","23-9-1",0.719
"25",2001,"Robin Hamilton","-","21-12-1",0.636
"26",2000,"Robin Hamilton","-","29-13-0",0.69
"27",1999,"Robin Hamilton","-","31-13-0",0.705
"28",1998,"Robin Hamilton","-","25-20-0",0.556
"29",1997,"Robin Hamilton","-","22-16-0",0.579
"30",1996,"Robin Hamilton","-","18-20-0",0.474
"31",1995,"Robin Hamilton","-","30-11-0",0.732
"32",1994,"Robin Hamilton","-","21-23-0",0.477
"33",1992,"Robin Hamilton","-","20-11-0",0.645
"34",1991,"Robin Hamilton","-","25-6-0",0.806
"35",1990,"Robin Hamilton","-","26-6-0",0.812
"36",1989,"Robin Hamilton","-","18-9-0",0.667
"37",1988,"Robin Hamilton","-","16-6-0",0.727
"38",1987,"Robin Hamilton","-","12-8-0",0.6
"39",1986,"Robin Hamilton","-","14-6-0",0.7
