"","season","head_coach","conference","record","win_perc"
"1","2025","Zack Farber","MASCAC","0-0-0","  NaN"
"2","2024","Heath Isaacson (11-25)Amanda Beckwith (11-25)","MASCAC","11-25-0","0.306"
"3","2023","Adriane Baird","MASCAC","8-26-0","0.235"
"4","2022","Adriane Baird","MASCAC","5-30-0","0.143"
"5","2021","Adriane Baird","MASCAC","0-2-0","0.000"
"6","2019","Amana Meczywor (14-21)Ashley Ciepiela (14-21)","MASCAC","14-21-0","0.400"
"7","2018","Erica Li","MASCAC","6-22-0","0.214"
"8","2017","Jamie Trudeau","MASCAC","5-26-0","0.161"
"9","2016","Jamie Trudeau","MASCAC","11-22-0","0.333"
"10","2015","Jamie Trudeau","MASCAC","16-22-0","0.421"
"11","2014","Mike Ameen","MASCAC","13-17-0","0.433"
"12","2013","Mike Ameen","MASCAC","21-22-0","0.488"
"13","2012","Mike Ameen","MASCAC","6-33-0","0.154"
"14","2011","Mike Ameen","MASCAC","11-21-0","0.344"
"15","2010","Kristin Parzych","MASCAC","11-25-0","0.306"
"16","2009","Kristin Parzych","MASCAC","10-24-0","0.294"
"17","2008","Kristin Parzych","MASCAC","14-22-0","0.389"
"18","2007","Kristin Parzych","MASCAC","4-24-0","0.143"
"19","2006","Kristin Parzych","MASCAC","9-27-0","0.250"
"20","2005","Kristin Parzych","MASCAC","3-27-0","0.100"
"21","2004","Brian Claypool","MASCAC","12-20-0","0.375"
"22","2003","Brian Claypool","MASCAC","15-18-0","0.455"
"23","2002","","-","12-23-0","0.343"
"24","2001","Deborah Raber","-","23-15-0","0.605"
"25","2000","Jen Goodwin","-","17-21-0","0.447"
"26","1997","Bud Pellerin","-","22-15-0","0.595"
"27","1996","Jennie Holmes","-","13-23-0","0.361"
"28","1995","George Galli","-","32-6-0","0.842"
"29","1994","George Galli","-","25-11-0","0.694"
"30","1993","George Galli","-","20-11-0","0.645"
"31","1992","George Galli","-","13-11-0","0.542"
"32","1991","George Galli","-","8-17-0","0.320"
