"","season","head_coach","conference","record","win_perc"
"1",2025,"Nicole Bayona","SIAC","6-29-0",0.171
"2",2024,"Lawanda Pearson","SIAC","14-30-0",0.318
"3",2023,"Lawanda Pearson","SIAC","19-21-0",0.475
"4",2022,"Lawanda Pearson","SIAC","6-23-0",0.207
"5",2021,"Lawanda Pearson","SIAC","1-13-0",0.071
"6",2020,"Lawanda Pearson","SIAC","5-11-0",0.312
"7",2019,"Lawanda Pearson","SIAC","14-21-0",0.4
"8",2018,"Lawanda Pearson","SIAC","8-19-0",0.296
"9",2017,"Lawanda Pearson","SIAC","19-26-0",0.422
"10",2016,"Lawanda Pearson","SIAC","11-31-0",0.262
"11",2015,"Lawanda Pearson","SIAC","11-29-0",0.275
"12",2014,"Lawanda Pearson","SIAC","20-23-0",0.465
"13",2013,"Lawanda Pearson","SIAC","23-20-0",0.535
"14",2012,"Lawanda Pearson","SIAC","20-23-0",0.465
"15",2011,"Lawanda Pearson","SIAC","32-15-0",0.681
"16",2010,"Lawanda Pearson","SIAC","22-24-0",0.478
"17",2009,"Lawanda Pearson","SIAC","19-37-0",0.339
"18",2008,"","SIAC","25-26-0",0.49
"19",2007,"","SIAC","15-21-0",0.417
"20",2006,"","SIAC","18-33-0",0.353
"21",2005,"","SIAC","22-32-0",0.407
"22",2004,"","SIAC","14-21-0",0.4
