"","season","head_coach","conference","record","win_perc"
"1",2025,"Liz Bouck-Jagielski","Big East","13-23-0",0.361
"2",2024,"Tracie Adix-Zins","Big East","9-38-0",0.191
"3",2023,"Tracie Adix-Zins","Big East","19-32-0",0.373
"4",2022,"Tracie Adix-Zins","Big East","29-24-0",0.547
"5",2021,"Tracie Adix-Zins","Big East","25-11-0",0.694
"6",2020,"Tracie Adix-Zins","Big East","8-12-0",0.4
"7",2019,"Tracie Adix-Zins","Big East","35-16-0",0.686
"8",2018,"Eugene Lenti","Big East","35-17-0",0.673
"9",2017,"Eugene Lenti","Big East","29-23-0",0.558
"10",2016,"Eugene Lenti","Big East","27-25-0",0.519
"11",2015,"Eugene Lenti","Big East","22-24-0",0.478
"12",2014,"Eugene Lenti","Big East","46-11-0",0.807
"13",2013,"Eugene Lenti","The American","32-21-0",0.604
"14",2012,"Eugene Lenti","The American","36-22-0",0.621
"15",2011,"Eugene Lenti","The American","41-15-0",0.732
"16",2010,"Eugene Lenti","The American","39-18-0",0.684
"17",2009,"Eugene Lenti","The American","39-14-0",0.736
"18",2008,"Eugene Lenti","The American","51-18-0",0.739
"19",2007,"Eugene Lenti","The American","47-13-0",0.783
"20",2006,"Eugene Lenti","The American","33-22-0",0.6
"21",2005,"Eugene Lenti","CUSA","45-21-0",0.682
"22",2004,"Eugene Lenti","CUSA","30-31-1",0.492
"23",2003,"Eugene Lenti","CUSA","48-7-1",0.873
"24",2002,"Eugene Lenti","CUSA","50-11-0",0.82
"25",2001,"Eugene Lenti","CUSA","51-16-1",0.761
"26",2000,"Eugene Lenti","Summit League","40-22-0",0.645
"27",1999,"Eugene Lenti","Summit League","54-14-0",0.794
"28",1998,"Eugene Lenti","-","47-8-0",0.855
"29",1997,"Eugene Lenti","Summit League","42-15-0",0.737
"30",1996,"Eugene Lenti","-","44-17-0",0.721
"31",1995,"Eugene Lenti","-","38-25-0",0.603
"32",1994,"Eugene Lenti","-","42-17-0",0.712
"33",1993,"Eugene Lenti","-","38-28-0",0.576
"34",1992,"Eugene Lenti","-","39-22-0",0.639
"35",1991,"Eugene Lenti","-","39-28-0",0.582
"36",1990,"Eugene Lenti","-","32-23-1",0.582
"37",1987,"Eugene Lenti","-","32-18-1",0.64
"38",1986,"Eugene Lenti","-","28-14-0",0.667
"39",1985,"Eugene Lenti","-","33-18-0",0.647
"40",1984,"Eugene Lenti","-","19-15-0",0.559
"41",1983,"Eugene Lenti","-","17-13-0",0.567
"42",1982,"Eugene Lenti","-","20-14-0",0.588
"43",1981,"Eugene Lenti","-","18-16-1",0.529
"44",1980,"Eugene Lenti","-","6-14-0",0.3
