"","season","head_coach","conference","record","win_perc"
"1",2025,"Jackie Patts","Great Northeast","1-3-0",0.25
"2",2024,"Matthew Cetin","Great Northeast","6-22-0",0.214
"3",2023,"Matthew Cetin","Great Northeast","3-25-0",0.107
"4",2022,"Matthew Cetin","Great Northeast","8-22-0",0.267
"5",2021,"Matthew Cetin","Great Northeast","3-10-0",0.231
"6",2020,"Craig Billings","Great Northeast","6-2-0",0.75
"7",2019,"Mike Kemp","Great Northeast","14-15-0",0.483
"8",2018,"Mike Kemp","Great Northeast","12-16-0",0.429
"9",2017,"Julie Craig (0-10)Mike Kemp (15-11-1)","Great Northeast","15-21-1",0.417
"10",2016,"Julie Craig","Great Northeast","17-19-0",0.472
"11",2015,"Julie Craig","Great Northeast","10-19-0",0.345
"12",2014,"Julie Craig","Great Northeast","15-18-0",0.455
"13",2013,"Greg McGrath","Great Northeast","25-10-0",0.714
"14",2012,"Greg McGrath","Great Northeast","21-16-0",0.568
"15",2011,"Greg McGrath","Great Northeast","10-22-0",0.312
"16",2010,"Greg McGrath","Great Northeast","12-23-0",0.343
"17",2009,"Jackie Patts","Great Northeast","18-17-0",0.514
"18",2008,"Jackie Patts","Great Northeast","17-17-0",0.5
"19",2007,"Jackie Patts","Great Northeast","15-16-0",0.484
"20",2006,"Dennis Tyner","Great Northeast","17-20-0",0.459
"21",2005,"","Great Northeast","19-15-0",0.559
"22",2004,"","Great Northeast","24-11-0",0.686
"23",1999,"Laura Merritt","-","19-17-0",0.528
"24",1998,"Laura Merritt","-","12-11-0",0.522
"25",1997,"Laura Merritt","-","16-8-1",0.667
"26",1996,"Laura Merritt","-","13-6-0",0.684
"27",1995,"Laura Merritt","-","16-5-0",0.762
"28",1994,"Laura Merritt","-","4-13-0",0.235
