"","season","head_coach","conference","record","win_perc"
"1",2025,"Shannon Schaub","G-MAC","2-40-0",0.048
"2",2024,"Grace Jackson","G-MAC","3-37-0",0.075
"3",2023,"Grace Jackson","G-MAC","10-30-0",0.25
"4",2022,"McKenna Garlock","G-MAC","13-27-0",0.325
"5",2021,"Rebecca Dyer","G-MAC","11-32-0",0.256
"6",2020,"Rebecca Dyer","G-MAC","2-11-0",0.154
"7",2019,"Rebecca Dyer","G-MAC","12-28-0",0.3
"8",2018,"Rebecca Dyer","G-MAC","16-22-0",0.421
"9",2017,"Rebecca Dyer","GLIAC","12-26-0",0.316
"10",2016,"Stephanie Smith","GLIAC","16-26-0",0.381
"11",2015,"Stephanie Smith","GLIAC","13-23-0",0.361
"12",2014,"Stephanie Smith","GLIAC","4-33-0",0.108
"13",2013,"Kristin Hall","GLIAC","2-36-0",0.053
"14",2012,"Kristin Hall","GLIAC","5-44-0",0.102
"15",2011,"Kristin Hall","GLIAC","10-38-0",0.208
"16",2010,"Gary VanCauwenberge","Lake Erie","8-34-0",0.19
"17",2009,"Gary VanCauwenberge","-","5-34-0",0.128
"18",2008,"Gary VanCauwenberge","AMCC","23-20-0",0.535
"19",2007,"Gary VanCauwenberge","AMCC","13-16-0",0.448
"20",2006,"Gary VanCauwenberge","AMCC","26-16-1",0.619
"21",2005,"Gary VanCauwenberge","AMCC","10-23-0",0.303
"22",2004,"Gary VanCauwenberge","AMCC","5-25-0",0.167
"23",2002,"Gary VanCauwenberge","-","1-25-0",0.038
"24",2001,"Lauren Ferullo","-","5-17-0",0.227
