"","season","head_coach","conference","record","win_perc"
"1",2025,"Travis Scott","Lone Star","21-4-0",0.84
"2",2024,"Travis Scott","Lone Star","37-18-0",0.673
"3",2023,"Travis Scott","Lone Star","29-25-0",0.537
"4",2022,"Travis Scott","Lone Star","39-12-0",0.765
"5",2021,"Travis Scott","Lone Star","33-14-0",0.702
"6",2020,"Travis Scott","Lone Star","20-6-0",0.769
"7",2019,"Travis Scott","Lone Star","34-20-0",0.63
"8",2018,"Travis Scott","Lone Star","53-9-0",0.855
"9",2017,"Travis Scott","Lone Star","60-7-0",0.896
"10",2016,"Travis Scott","Lone Star","37-23-0",0.617
"11",2015,"Travis Scott","Lone Star","33-17-1",0.66
"12",2014,"Travis Scott","Lone Star","41-16-0",0.719
"13",2013,"Travis Scott","Lone Star","37-18-0",0.673
"14",2012,"Travis Scott","Lone Star","48-11-0",0.814
"15",2011,"Travis Scott","Lone Star","45-14-0",0.763
"16",2010,"Travis Scott","Lone Star","50-15-0",0.769
"17",2009,"Travis Scott","Lone Star","50-10-0",0.833
"18",2008,"Travis Scott","Lone Star","48-12-0",0.8
"19",2007,"Travis Scott","Lone Star","53-13-0",0.803
"20",2006,"Travis Scott","Lone Star","31-26-0",0.544
"21",2005,"Travis Scott","Lone Star","46-16-0",0.742
"22",2004,"Travis Scott","Lone Star","47-11-0",0.81
"23",2003,"Kathy Rodolph","Lone Star","49-10-0",0.831
"24",2002,"Kathy Rodolph","-","20-24-0",0.455
