"","season","head_coach","conference","record","win_perc"
"1",2025,"Larry Sasso","Great Northeast","4-8-0",0.333
"2",2024,"Larry Sasso","Great Northeast","16-22-0",0.421
"3",2023,"Larry Sasso","Great Northeast","10-27-0",0.27
"4",2022,"Larry Sasso","Great Northeast","13-24-1",0.351
"5",2021,"Larry Sasso","Great Northeast","4-21-0",0.16
"6",2020,"Larry Sasso","Great Northeast","1-9-0",0.1
"7",2019,"Larry Sasso","Great Northeast","5-24-0",0.172
"8",2018,"Larry Sasso","Great Northeast","2-36-0",0.053
"9",2017,"Chelsea Korp","Great Northeast","5-27-0",0.156
"10",2016,"Chelsea Korp","Great Northeast","4-31-0",0.114
"11",2015,"Danielle DelPonte","Great Northeast","5-24-0",0.172
"12",2014,"Kristi Lyman","Great Northeast","3-31-0",0.088
"13",2013,"Kristi Lyman","Great Northeast","5-32-0",0.135
"14",2012,"Kristi Lyman","Great Northeast","0-35-0",0
"15",2011,"Aimee Lee","CNE","15-23-0",0.395
"16",2010,"Aimee Lee","CNE","22-22-0",0.5
"17",2009,"Aimee Lee","CNE","12-25-0",0.324
"18",2008,"Aimee Lee","CNE","8-27-0",0.229
"19",2007,"Aimee Lee","CNE","3-22-0",0.12
"20",2006,"Aimee Lee","CNE","11-24-0",0.314
"21",2005,"Aimee Lee","CNE","17-18-1",0.486
"22",2004,"Aimee Lee","CNE","19-20-0",0.487
"23",2003,"Sharon Zenevitch (Trainor)","CNE","29-9-0",0.763
"24",2002,"Sharon Zenevitch (Trainor)","CNE","21-15-1",0.583
"25",2001,"Sharon Zenevitch (Trainor)","-","6-21-0",0.222
"26",2000,"Sharon Zenevitch (Trainor)","-","9-22-1",0.29
"27",1999,"Richard Coleman","-","10-15-0",0.4
"28",1998,"Jodi Bush","-","4-17-0",0.19
"29",1997,"Jodi Bush","-","2-14-0",0.125
"30",1996,"Jodi Bush","-","8-12-0",0.4
