"","season","head_coach","conference","record","win_perc"
"1",2025,"Lakyn Wagoner","WIAC","2-1-0",0.667
"2",2024,"Chris Iliopoulos","WIAC","22-20-0",0.524
"3",2023,"Chris Iliopoulos","WIAC","11-26-0",0.297
"4",2022,"Chris Iliopoulos","WIAC","12-24-0",0.333
"5",2021,"Becky Iaccino","WIAC","6-26-0",0.188
"6",2020,"Becky Iaccino","WIAC","3-1-0",0.75
"7",2019,"Becky Iaccino","WIAC","19-18-0",0.514
"8",2018,"Becky Iaccino","WIAC","23-12-0",0.657
"9",2017,"Becky Iaccino","WIAC","18-24-0",0.429
"10",2016,"Becky Iaccino","WIAC","17-21-0",0.447
"11",2015,"Chris Stainer","WIAC","16-27-0",0.372
"12",2014,"Chris Stainer","WIAC","27-12-0",0.692
"13",2013,"Chris Stainer","WIAC","23-13-0",0.639
"14",2012,"Chris Stainer","WIAC","20-22-0",0.476
"15",2011,"Chris Stainer","WIAC","17-23-0",0.425
"16",2010,"Chris Stainer","WIAC","16-24-0",0.4
"17",2009,"Chris Stainer","WIAC","19-21-0",0.475
"18",2008,"Chris Stainer","WIAC","7-29-0",0.194
"19",2007,"Chris Stainer","WIAC","16-21-0",0.432
"20",2006,"Chris Stainer","WIAC","8-29-0",0.216
"21",2005,"Chris Stainer","WIAC","25-21-0",0.543
"22",2004,"Chris Stainer","WIAC","27-16-0",0.628
"23",2003,"Chris Stainer","WIAC","17-20-0",0.459
"24",2002,"Chris Stainer","WIAC","9-16-0",0.36
"25",2001,"Chris Stainer","-","21-24-0",0.467
"26",2000,"Chris Stainer","-","17-28-0",0.378
"27",1999,"Chris Stainer","-","9-26-0",0.257
"28",1998,"Cyndi Raymond","-","21-20-0",0.512
"29",1997,"Cyndi Raymond","-","19-23-0",0.452
"30",1996,"Cyndi Raymond","-","20-19-0",0.513
"31",1995,"Cyndi Raymond","-","34-17-0",0.667
"32",1994,"Cyndi Raymond","-","22-23-0",0.489
"33",1993,"Cyndi Raymond","-","10-26-0",0.278
"34",1992,"Lori Anda-Bowen","-","5-15-0",0.25
