"","season","head_coach","conference","record","win_perc"
"1",2025,"Sara Stafford","SLIAC","3-15-0",0.167
"2",2024,"Sara Stafford","SLIAC","6-32-0",0.158
"3",2023,"Sara Stafford","SLIAC","4-36-0",0.1
"4",2022,"Sara Stafford","SLIAC","10-25-0",0.286
"5",2021,"Sara Stafford","SLIAC","15-18-0",0.455
"6",2020,"Sara Stafford","SLIAC","2-2-0",0.5
"7",2019,"Sara Stafford","SLIAC","13-17-0",0.433
"8",2018,"Joe Henderson","SLIAC","22-22-0",0.5
"9",2017,"Joe Henderson","SLIAC","24-13-0",0.649
"10",2016,"Joe Henderson","SLIAC","22-17-0",0.564
"11",2015,"Joe Henderson","SLIAC","13-20-0",0.394
"12",2014,"Shelli Manson","SLIAC","14-22-0",0.389
"13",2013,"Shelli Manson","SLIAC","15-11-0",0.577
"14",2012,"Shelli Manson","SLIAC","14-18-0",0.438
"15",2011,"Shelli Manson","SLIAC","9-18-0",0.333
"16",2010,"Shelli Manson","SLIAC","7-24-0",0.226
"17",2009,"Nicole Stacey","SLIAC","12-22-0",0.353
"18",2008,"Nicole Stacey","SLIAC","5-27-0",0.156
"19",2007,"Nicole Stacey","SLIAC","9-29-0",0.237
"20",2006,"Erin Brown","SLIAC","11-19-0",0.367
"21",2005,"Erin Brown","SLIAC","6-14-0",0.3
"22",2004,"Chris Viers","SLIAC","1-25-0",0.038
"23",2002,"Chris Viers","SLIAC","12-13-0",0.48
"24",2000,"Ed Deugan","-","4-16-1",0.2
"25",1999,"Lynette Overstreet","-","6-20-0",0.231
"26",1998,"Jane Jackson","-","9-21-0",0.3
"27",1997,"Jane Jackson","-","15-16-0",0.484
"28",1996,"Allison Jones","-","7-27-0",0.206
"29",1995,"Allison Jones","-","12-22-0",0.353
"30",1994,"Allison Jones","-","8-20-0",0.286
"31",1993,"Allison Jones","-","16-11-0",0.593
