"","season","head_coach","conference","record","win_perc"
"1",2025,"Noelle Sass","Great Northeast","21-15-0",0.583
"2",2024,"Noelle Sass","Great Northeast","15-18-0",0.455
"3",2023,"Mike Holloran","Great Northeast","18-23-0",0.439
"4",2022,"Mike Holloran","Great Northeast","13-25-0",0.342
"5",2021,"Mike Holloran","Great Northeast","7-4-0",0.636
"6",2020,"Mike Holloran","Great Northeast","1-7-0",0.125
"7",2019,"Mike Holloran","Great Northeast","10-26-0",0.278
"8",2018,"Mike Holloran","Great Northeast","11-29-0",0.275
"9",2017,"Mike Holloran","Great Northeast","11-23-0",0.324
"10",2016,"Mike Holloran","Great Northeast","11-21-0",0.344
"11",2015,"Dave Morissette","Great Northeast","14-20-0",0.412
"12",2014,"Dave Morissette","Great Northeast","9-25-0",0.265
"13",2013,"Dave Morissette","Great Northeast","16-21-0",0.432
"14",2012,"Dave Morissette","Great Northeast","25-14-0",0.641
"15",2011,"Dave Morissette","Great Northeast","26-15-0",0.634
"16",2010,"Kelly O'Connell","Great Northeast","33-6-0",0.846
"17",2009,"Kelly O'Connell","Great Northeast","17-16-0",0.515
"18",2008,"Kelly O'Connell","Great Northeast","25-14-0",0.641
"19",2007,"Kelly O'Connell","Great Northeast","25-10-0",0.714
"20",2006,"Kelly O'Connell","Great Northeast","6-16-0",0.273
"21",2005,"Jennifer Craft","Great Northeast","4-20-0",0.167
"22",2004,"Jennifer Craft","Great Northeast","5-19-0",0.208
"23",1998,"David Hogan","-","5-12-0",0.294
