"","season","head_coach","conference","record","win_perc"
"1",2025,"Ashley Gruber","AMCC","4-2-0",0.667
"2",2024,"Ashley Gruber","AMCC","33-10-0",0.767
"3",2023,"Ashley Gruber","AMCC","23-19-0",0.548
"4",2022,"Ashley Gruber","AMCC","23-15-0",0.605
"5",2021,"Ashley Gruber","AMCC","28-8-0",0.778
"6",2020,"Ashley Gruber","AMCC","2-10-0",0.167
"7",2019,"Ashley Gruber","AMCC","28-12-0",0.7
"8",2018,"Ashley Gruber","AMCC","32-13-0",0.711
"9",2017,"Ashley Gruber","AMCC","27-14-0",0.659
"10",2016,"Ashley Gruber","AMCC","27-13-0",0.675
"11",2015,"Ashley Gruber","AMCC","25-16-0",0.61
"12",2014,"Ashley Gruber","AMCC","20-17-0",0.541
"13",2013,"Stacy Pondo","AMCC","17-21-0",0.447
"14",2012,"Stacy Pondo","AMCC","26-15-0",0.634
"15",2011,"Stacy Pondo","AMCC","15-17-0",0.469
"16",2010,"Stacy Pondo","AMCC","17-21-0",0.447
"17",2009,"Stacy Pondo","AMCC","33-8-0",0.805
"18",2008,"Stacy Pondo","AMCC","33-14-0",0.702
"19",2007,"Stacy Pondo","AMCC","29-16-0",0.644
"20",2006,"Stacy Pondo","AMCC","34-10-0",0.773
"21",2005,"Stacy Pondo","AMCC","11-25-0",0.306
"22",2004,"Stacy Pondo","AMCC","11-26-0",0.297
"23",2003,"Kellie Diehl","AMCC","11-23-0",0.324
"24",2002,"Kellie Diehl","ECAC","10-27-0",0.27
"25",2001,"Cindy Jacobelli","-","12-17-0",0.414
"26",2000,"Cindy Jacobelli","-","14-17-0",0.452
"27",1999,"Cindy Jacobelli","-","26-10-0",0.722
"28",1998,"Cindy Jacobelli","-","15-19-0",0.441
"29",1997,"Sharon Gregory","-","5-21-0",0.192
"30",1996,"Sharon Gregory","-","16-15-0",0.516
"31",1995,"Paul Benim","-","25-18-0",0.581
"32",1994,"Paul Benim","-","28-13-0",0.683
"33",1993,"Paul Benim","-","29-6-0",0.829
"34",1992,"Brett Banker","-","18-6-0",0.75
"35",1991,"Brett Banker","-","19-10-0",0.655
"36",1990,"Brett Banker","-","17-9-0",0.654
"37",1989,"Brett Banker","-","18-11-0",0.621
"38",1981,"","-","8-6-1",0.571
