"","season","head_coach","conference","record","win_perc"
"1",2025,"Jennifer Williams","Ivy League","10-10-0",0.5
"2",2024,"Jennifer Williams","Ivy League","18-17-0",0.514
"3",2023,"Jennifer Williams","Ivy League","14-25-0",0.359
"4",2022,"Jennifer Williams","Ivy League","20-24-0",0.455
"5",2021,"Jennifer Williams","Ivy League","3-2-0",0.6
"6",2020,"Jennifer Williams","Ivy League","4-6-0",0.4
"7",2019,"Jennifer Williams","Ivy League","13-27-0",0.325
"8",2018,"Shannon Doepking","Ivy League","22-18-0",0.55
"9",2017,"Shannon Doepking","Ivy League","11-28-1",0.282
"10",2016,"Shannon Doepking","Ivy League","27-15-0",0.643
"11",2015,"Shannon Doepking","Ivy League","25-18-0",0.581
"12",2014,"Rachel Hanson","Ivy League","31-19-0",0.62
"13",2013,"Rachel Hanson","Ivy League","26-20-0",0.565
"14",2012,"Rachel Hanson","Ivy League","14-25-0",0.359
"15",2011,"Rachel Hanson","Ivy League","17-22-0",0.436
"16",2010,"Christine Vogt","Ivy League","14-27-0",0.341
"17",2009,"Christine Vogt","Ivy League","23-23-0",0.5
"18",2008,"Christine Vogt","Ivy League","13-25-0",0.342
"19",2007,"Christine Vogt","Ivy League","16-24-0",0.4
"20",2006,"Christine Vogt","Ivy League","14-22-0",0.389
"21",2005,"Christine Vogt","Ivy League","10-26-1",0.278
"22",2004,"Jen Goodwin","Ivy League","17-20-0",0.459
"23",2003,"Steffany Bender","Ivy League","13-21-0",0.382
"24",2002,"Steffany Bender","Ivy League","26-19-0",0.578
"25",2001,"Steffany Bender","Ivy League","21-17-0",0.553
"26",2000,"Steffany Bender","Ivy League","32-16-0",0.667
"27",1999,"Steffany Bender","Ivy League","18-27-0",0.4
"28",1998,"Steffany Bender","-","10-28-1",0.263
"29",1997,"Steffany Bender","Ivy League","8-26-0",0.235
"30",1996,"Steffany Bender","-","6-34-0",0.15
