"","season","head_coach","conference","record","win_perc"
"1","2025","Cassi Pickett","Sunshine State","6-1-0",0.857
"2","2024","Cassi Pickett","Sunshine State","12-38-0",0.24
"3","2023","Cassi Pickett","Sunshine State","21-31-0",0.404
"4","2022","Cassi Pickett","Sunshine State","16-34-0",0.32
"5","2021","Jill Moore","Sunshine State","1-28-0",0.034
"6","2020","Jill Moore","Sunshine State","13-17-0",0.433
"7","2019","Amy Bellisari","Sunshine State","16-36-0",0.308
"8","2018","Amy Bellisari","Sunshine State","25-25-0",0.5
"9","2017","Amy Bellisari","Sunshine State","26-22-0",0.542
"10","2016","Amy Bellisari","Sunshine State","17-33-1",0.343
"11","2015","Amy Bellisari","Sunshine State","20-26-0",0.435
"12","2014","Amy Bellisari","Sunshine State","21-30-0",0.412
"13","2013","Amy Bellisari","Sunshine State","19-31-0",0.38
"14","2012","Amy Bellisari","Sunshine State","2-47-0",0.041
"15","2011","Mandy Harris-Morgan","Sunshine State","10-42-0",0.192
"16","2010","Mandy Harris-Morgan","Sunshine State","24-31-0",0.436
"17","2009","Mandy Harris-Morgan","Sunshine State","21-29-0",0.42
"18","2008","Cherene Castillo","Sunshine State","18-36-0",0.333
"19","2007","Cherene Castillo","Sunshine State","15-37-0",0.288
"20","2006","Cherene Castillo","Sunshine State","24-26-0",0.48
"21","2005","Thomas Macera","Sunshine State","0-7-0",0
"22","2004","Amy Alderman","Sunshine State","35-19-1",0.645
"23","2003","Amy Alderman","-","34-21-0",0.618
"24","2002","Amy Alderman","Sunshine State","31-24-0",0.564
"25","2001","Amy Alderman","-","36-15-0",0.706
"26","1900","Amy Alderman","-","26-28-0",0.481
"27","1999","Lindy Binns","-","13-31-1",0.3
"28","1998","Lindy Binns","-","5-44-0",0.102
