"","season","head_coach","conference","record","win_perc"
"1",2025,"Erin Brown","OVC","9-8-0",0.529
"2",2024,"Erin Brown","OVC","25-25-0",0.5
"3",2023,"Erin Brown","OVC","16-32-0",0.333
"4",2022,"Erin Brown","GLVC","35-13-0",0.729
"5",2021,"Liz Kelly","GLVC","23-15-1",0.605
"6",2020,"Liz Kelly","GLVC","11-4-0",0.733
"7",2019,"Liz Kelly","Mid-America Intercollegiate","29-17-0",0.63
"8",2018,"Liz Kelly","Mid-America Intercollegiate","30-22-0",0.577
"9",2017,"Liz Kelly","Mid-America Intercollegiate","21-26-0",0.447
"10",2016,"Don Loberg","Mid-America Intercollegiate","15-37-0",0.288
"11",2015,"Don Loberg","Mid-America Intercollegiate","17-34-0",0.333
"12",2014,"Don Loberg","Mid-America Intercollegiate","22-29-0",0.431
"13",2013,"Don Loberg","Mid-America Intercollegiate","20-30-0",0.4
"14",2012,"Don Loberg","Mid-America Intercollegiate","16-32-0",0.333
"15",2011,"Don Loberg","-","30-23-0",0.566
"16",2010,"Don Loberg","-","32-21-0",0.604
"17",2009,"Don Loberg","-","36-27-0",0.571
"18",2008,"Don Loberg","-","35-16-0",0.686
"19",2007,"Don Loberg","-","16-28-0",0.364
"20",2006,"Don Loberg","-","28-18-0",0.609
