"","season","head_coach","conference","record","win_perc"
"1",2025,"Jenny Parsons","ASUN","17-18-0",0.486
"2",2024,"Jenny Parsons","ASUN","26-27-1",0.491
"3",2023,"Jenny Parsons","ASUN","45-12-0",0.789
"4",2022,"Jenny Parsons","ASUN","37-21-0",0.638
"5",2021,"David Kuhn","Southland","37-19-0",0.661
"6",2020,"David Kuhn","Southland","18-9-0",0.667
"7",2019,"David Kuhn","Southland","26-28-0",0.481
"8",2018,"David Kuhn","Southland","29-27-0",0.518
"9",2017,"David Kuhn","Southland","26-34-0",0.433
"10",2016,"David Kuhn","Southland","35-22-0",0.614
"11",2015,"David Kuhn","Southland","35-21-0",0.625
"12",2014,"David Kuhn","Southland","25-34-0",0.424
"13",2013,"David Kuhn","Southland","37-21-0",0.638
"14",2012,"David Kuhn","Southland","36-22-0",0.621
"15",2011,"David Kuhn","Southland","26-30-0",0.464
"16",2010,"David Kuhn","Southland","25-31-0",0.446
"17",2009,"David Kuhn","Southland","24-31-0",0.436
"18",2008,"Steve Kissel","Southland","6-43-0",0.122
"19",2007,"Steve Kissel","Southland","16-42-0",0.276
"20",2006,"Steve Kissel","Gulf South","12-34-0",0.261
"21",2005,"Natalie Shock","Gulf South","19-28-0",0.404
"22",2004,"Natalie Shock","Gulf South","17-27-0",0.386
"23",2003,"Natalie Shock","Gulf South","17-27-0",0.386
"24",2002,"Natalie Shock","-","26-31-0",0.456
"25",2001,"Natalie Shock","-","21-31-0",0.404
"26",2000,"Natalie Shock","-","29-21-0",0.58
"27",1999,"Natalie Shock","-","26-19-0",0.578
"28",1998,"Natalie Shock","-","20-28-0",0.417
"29",1997,"Natalie Shock","-","12-27-0",0.308
"30",1996,"Natalie Shock","-","13-14-0",0.481
