"","season","head_coach","conference","record","win_perc"
"1","2025","Ryan Konitzer","WIAC","0-0-0","  NaN"
"2","2024","Ryan Konitzer","WIAC","32-9-0","0.780"
"3","2023","Ryan Konitzer","WIAC","28-13-0","0.683"
"4","2022","Ryan Konitzer","WIAC","19-17-0","0.528"
"5","2021","Ryan Konitzer","WIAC","23-16-0","0.590"
"6","2020","Ryan Konitzer","WIAC","8-4-0","0.667"
"7","2019","Ryan Konitzer","WIAC","17-20-1","0.459"
"8","2018","Ryan Konitzer","WIAC","12-25-0","0.324"
"9","2017","Ashley Steltenpohl","WIAC","12-24-0","0.333"
"10","2016","Ashley Steltenpohl","WIAC","14-22-0","0.389"
"11","2015","Jill Millis","WIAC","15-24-0","0.385"
"12","2014","Jill Millis","WIAC","11-22-0","0.333"
"13","2013","Jill Millis","WIAC","19-17-0","0.528"
"14","2012","Jill Millis","WIAC","14-24-0","0.368"
"15","2011","Tom Henke","WIAC","23-15-0","0.605"
"16","2010","Tom Henke","WIAC","22-18-0","0.550"
"17","2009","Tom Henke","WIAC","21-20-0","0.512"
"18","2008","Ann Munzenmaier","WIAC","24-11-0","0.686"
"19","2007","Ann Munzenmaier","WIAC","33-10-0","0.767"
"20","2006","Ann Munzenmaier","WIAC","24-16-1","0.600"
"21","2005","Ann Munzenmaier","WIAC","26-15-0","0.634"
"22","2004","Kelly Erickson","WIAC","20-21-0","0.488"
"23","2003","Paul Caufield","WIAC","21-17-0","0.553"
"24","2002","Paul Caufield","WIAC","21-12-0","0.636"
"25","2001","Ali Brian","-","25-13-0","0.658"
"26","2000","Kelli Harms","-","27-13-1","0.675"
"27","1999","Dean Shuda","-","38-13-0","0.745"
"28","1998","Dean Shuda","-","43-15-0","0.741"
"29","1997","Dean Shuda","-","21-14-0","0.600"
"30","1996","Dean Shuda","-","33-12-0","0.733"
"31","1995","Dean Shuda","-","30-15-0","0.667"
"32","1994","Dean Shuda","-","27-14-0","0.659"
"33","1993","Cherith Bevers","-","13-13-0","0.500"
"34","1992","Sharon Stellwagen","-","5-22-0","0.185"
"35","1991","Sharon Stellwagen","-","10-23-0","0.303"
