"","team_name","team_id","season","head_coach","division","conference","wins","losses","ties","win_perc"
"1","Mansfield","384","2025","Edith Gallagher","D-II","PSAC",0,0,0,0
"2","Mansfield","384","2024","Edith Gallagher","D-II","PSAC",13,29,0,0.31
"3","Mansfield","384","2023","Edith Gallagher","D-II","PSAC",10,34,0,0.227
"4","Mansfield","384","2022","Edith Gallagher","D-II","PSAC",5,23,0,0.179
"5","Mansfield","384","2021","Edith Gallagher","D-II","PSAC",5,27,0,0.156
"6","Mansfield","384","2020","Edith Gallagher","D-II","PSAC",6,4,0,0.6
"7","Mansfield","384","2019","Edith Gallagher","D-II","PSAC",17,15,1,0.53
"8","Mansfield","384","2018","Edith Gallagher","D-II","PSAC",11,16,NA,0.407
"9","Mansfield","384","2017","Edith Gallagher","D-II","PSAC",21,14,0,0.6
"10","Mansfield","384","2016","Edith Gallagher","D-II","PSAC",15,22,0,0.405
"11","Mansfield","384","2015","Edith Gallagher","D-II","PSAC",12,24,1,0.338
"12","Mansfield","384","2014","Edith Gallagher","D-II","PSAC",24,19,0,0.558
"13","Mansfield","384","2013","Edith Gallagher","D-II","PSAC",25,15,0,0.625
"14","Mansfield","384","2012","Edith Gallagher","D-II","PSAC",20,15,0,0.571
"15","Mansfield","384","2011","Edith Gallagher","D-II","PSAC",11,17,0,0.393
"16","Mansfield","384","2010","Edith Gallagher","D-II","PSAC",12,16,0,0.429
"17","Mansfield","384","2009","Edith Gallagher","D-II","PSAC",14,20,0,0.412
"18","Mansfield","384","2008","Edith Gallagher","D-II","PSAC",13,20,0,0.394
"19","Mansfield","384","2007","Edith Gallagher","D-II","PSAC",7,30,0,0.189
"20","Mansfield","384","2006","Edith Gallagher","D-II","PSAC",21,22,0,0.488
"21","Mansfield","384","2005","Edith Gallagher","D-II","PSAC",24,13,1,0.645
"22","Mansfield","384","2004","Edith Gallagher","D-II","PSAC",22,0,0,1
"23","Mansfield","384","2003","Edith Gallagher","D-II","PSAC",26,18,0,0.591
"24","Mansfield","384","2002","Edith Gallagher","D-II","-",19,21,NA,0.475
"25","Mansfield","384","2001","Edith Gallagher","D-II","-",11,19,NA,0.367
"26","Mansfield","384","1900","Edith Gallagher","D-II","-",21,19,NA,0.525
"27","Mansfield","384","1999","Edith Gallagher","D-II","-",19,19,NA,0.5
"28","Mansfield","384","1998","Edith Gallagher","D-II","-",12,23,NA,0.343
"29","Mansfield","384","1997","Edith Gallagher","D-II","-",10,26,NA,0.278
"30","Mansfield","384","1996","Edith Gallagher","D-II","-",9,30,NA,0.231
"31","Mansfield","384","1995","Edith Gallagher","D-II","-",10,32,NA,0.238
"32","Mansfield","384","1994","Edith Gallagher","D-II","-",23,15,NA,0.605
"33","Mansfield","384","1993","Edith Gallagher","D-II","-",7,11,NA,0.389
"34","Mansfield","384","1992","Edith Gallagher","D-II","-",26,6,2,0.794
"35","Mansfield","384","1991","Joe French","D-II","-",33,16,NA,0.673
"36","Mansfield","384","1990","Joe French","D-II","-",29,20,NA,0.592
"37","Mansfield","384","1989","Joe French","D-II","-",22,13,NA,0.629
"38","Mansfield","384","1988","Joe French","D-II","-",11,13,NA,0.458
"39","Mansfield","384","1987","","D-II","-",NA,NA,NA,NA
"40","Mansfield","384","1986","","D-II","-",NA,NA,NA,NA
"41","Mansfield","384","1985","","D-II","-",NA,NA,NA,NA
"42","Mansfield","384","","","","",596,696,5,0.461
