"","season","head_coach","conference","record","win_perc"
"1",2025,"Kelsey Christensen","Big East","9-16-0",0.36
"2",2024,"Kelsey Christensen","Big East","22-23-1",0.489
"3",2023,"Jill Karwoski","Big East","15-32-0",0.319
"4",2022,"Jill Karwoski","Big East","25-21-0",0.543
"5",2021,"Jill Karwoski","Big East","5-16-1",0.238
"6",2020,"Jill Karwoski","Big East","6-11-0",0.353
"7",2019,"Jill Karwoski","Big East","30-22-0",0.577
"8",2018,"Kerri Jacklets","Big East","13-32-0",0.289
"9",2017,"Kerri Jacklets","Big East","23-25-0",0.479
"10",2016,"Kerri Jacklets","Big East","21-28-0",0.429
"11",2015,"Kerri Jacklets","Big East","16-23-0",0.41
"12",2014,"Kerri Jacklets","Big East","6-29-0",0.171
"13",2013,"Kerri Jacklets","The American","24-31-1",0.436
"14",2012,"Kerri Jacklets","The American","17-36-0",0.321
"15",2011,"Kerri Jacklets","The American","23-30-0",0.434
"16",2010,"Kerri Jacklets","The American","22-28-0",0.44
"17",2009,"Kerri Jacklets","The American","17-34-0",0.333
"18",2008,"Kerri Jacklets","The American","25-25-2",0.5
"19",2007,"Kerri Jacklets","The American","23-24-0",0.489
"20",2006,"Kerri Jacklets","The American","29-19-1",0.604
"21",2005,"Dana Fulmer","The American","33-20-0",0.623
"22",2004,"Dana Fulmer","The American","34-20-1",0.63
"23",2003,"Dana Fulmer","The American","20-24-0",0.455
"24",2002,"Dana Fulmer","The American","16-36-1",0.308
"25",2001,"Dana Fulmer","The American","23-28-1",0.451
"26",2000,"Dana Fulmer","The American","21-28-0",0.429
"27",1999,"Dana Fulmer","The American","12-39-0",0.235
"28",1998,"Dana Fulmer","-","17-25-2",0.405
"29",1997,"Michelle Fagnant","The American","13-28-0",0.317
"30",1996,"Michelle Fagnant","-","21-21-1",0.5
"31",1995,"Jen Finley","-","38-17-0",0.691
"32",1994,"Jen Finley","-","38-20-0",0.655
"33",1993,"Jackie Barto","-","34-18-0",0.654
"34",1992,"Jackie Barto","-","35-17-0",0.673
"35",1991,"Jackie Barto","-","21-24-1",0.467
"36",1990,"John Marchetti","-","19-25-3",0.432
"37",1989,"John Marchetti","-","19-19-0",0.5
"38",1988,"John Marchetti","-","12-32-0",0.273
"39",1987,"John Marchetti","-","12-18-0",0.4
"40",1986,"John Marchetti","-","10-20-0",0.333
