"","season","head_coach","conference","record","win_perc"
"1",2025,"Kathy Hill","NJAC","1-6-0",0.143
"2",2024,"Jessica Jacobson","NJAC","5-27-0",0.156
"3",2023,"Jessica Jacobson","NJAC","23-15-1",0.605
"4",2022,"Jessica Jacobson","NJAC","16-21-0",0.432
"5",2021,"John McClain","NJAC","10-14-0",0.417
"6",2019,"Hallie Cohen","NJAC","17-21-0",0.447
"7",2018,"Hallie Cohen","NJAC","23-15-0",0.605
"8",2017,"Hallie Cohen","NJAC","28-13-0",0.683
"9",2016,"Hallie Cohen","NJAC","28-12-0",0.7
"10",2015,"Hallie Cohen","NJAC","30-13-1",0.698
"11",2014,"Hallie Cohen","NJAC","31-11-0",0.738
"12",2013,"Hallie Cohen","NJAC","19-21-0",0.475
"13",2012,"Hallie Cohen","NJAC","30-12-0",0.714
"14",2011,"Hallie Cohen","NJAC","28-10-0",0.737
"15",2010,"Hallie Cohen","NJAC","26-15-1",0.634
"16",2009,"Hallie Cohen","NJAC","35-9-0",0.795
"17",2008,"Hallie Cohen","NJAC","22-20-0",0.524
"18",2007,"Hallie Cohen","NJAC","24-15-0",0.615
"19",2006,"Hallie Cohen","NJAC","29-11-0",0.725
"20",2005,"Hallie Cohen","NJAC","37-11-1",0.771
"21",2004,"Hallie Cohen","NJAC","26-8-0",0.765
"22",2003,"Hallie Cohen","NJAC","29-12-1",0.707
"23",2002,"Hallie Cohen","NJAC","29-10-0",0.744
"24",2001,"Hallie Cohen","-","39-10-0",0.796
"25",2000,"Hallie Cohen","-","26-10-0",0.722
"26",1999,"Hallie Cohen","-","30-16-0",0.652
"27",1998,"Hallie Cohen","-","25-15-0",0.625
"28",1997,"Hallie Cohen","-","17-21-0",0.447
"29",1996,"Hallie Cohen","-","18-16-0",0.529
"30",1995,"Hallie Cohen","-","14-21-0",0.4
"31",1994,"Cyndi Gramlich-Covello","-","19-19-0",0.5
"32",1993,"Cyndi Gramlich-Covello","-","25-15-0",0.625
"33",1992,"Cyndi Gramlich-Covello","-","29-16-0",0.644
"34",1991,"Cyndi Gramlich-Covello","-","32-12-0",0.727
"35",1990,"Cyndi Gramlich-Covello","-","32-13-0",0.711
"36",1989,"Cyndi Gramlich-Covello","-","22-14-0",0.611
"37",1988,"Cyndi Gramlich-Covello","-","28-11-0",0.718
"38",1984,"Cyndi Gramlich-Covello","-","16-12-1",0.571
