"","season","head_coach","conference","record","win_perc"
"1",2025,"Angela Dean","HCAC","1-6-0",0.143
"2",2024,"Angela Dean","CCS","1-26-0",0.037
"3",2023,"Angela Dean","CCS","1-24-0",0.04
"4",2022,"Angela Dean","USA South","13-20-0",0.394
"5",2021,"Nicole Yost","USA South","0-0-0",NA
"6",2020,"Nicole Yost","USA South","1-7-0",0.125
"7",2019,"Nicole Yost","USA South","13-25-0",0.342
"8",2018,"Ryan Hess","USA South","8-22-0",0.267
"9",2017,"Chris Petroski","-","14-20-0",0.412
"10",2016,"","-","2-12-0",0.143
"11",2015,"","-","1-2-0",0.333
"12",2014,"","-","3-1-0",0.75
"13",2013,"","-","1-3-0",0.25
"14",NA,"","","58-162-0",0.264
