"","season","head_coach","conference","record","win_perc"
"1",2025,"Bre Marcyoniak","Great Northeast","0-8-0",0
"2",2024,"Bre Marcyoniak","Great Northeast","4-31-0",0.114
"3",2023,"Bre Marcyoniak","Great Northeast","3-27-0",0.1
"4",2022,"Cheryl Condon","Great Northeast","11-19-0",0.367
"5",2021,"Cheryl Condon","NECC","0-12-0",0
"6",2020,"Cheryl Condon","NECC","0-8-0",0
"7",2019,"Cheryl Condon","NECC","12-22-1",0.353
"8",2018,"Cheryl Condon","NECC","15-17-0",0.469
"9",2017,"Cheryl Condon","NECC","13-19-0",0.406
"10",2016,"Cheryl Condon","NECC","15-19-0",0.441
"11",2015,"Cheryl Condon","NECC","20-14-0",0.588
"12",2014,"Cheryl Condon","NECC","12-16-0",0.429
"13",2013,"Cheryl Condon","NECC","10-21-0",0.323
"14",2012,"Cheryl Condon","NECC","15-19-0",0.441
"15",2011,"Cheryl Condon","NECC","22-15-0",0.595
"16",2010,"Cheryl Condon","NECC","20-17-0",0.541
"17",2009,"Cheryl Condon","NECC","17-14-0",0.548
"18",2008,"Cheryl Condon","North Atlantic","19-15-0",0.559
"19",2007,"Cheryl Condon","North Atlantic","18-11-0",0.621
"20",2006,"Cheryl Condon","North Atlantic","27-12-0",0.692
"21",2005,"Cheryl Condon","North Atlantic","26-10-0",0.722
"22",2004,"Cheryl Condon","North Atlantic","27-9-0",0.75
"23",2003,"Cheryl Condon","-","28-7-0",0.8
"24",2002,"Cheryl Condon","-","18-16-0",0.529
"25",2001,"Cheryl Condon","-","9-21-0",0.3
"26",2000,"Cheryl Condon","-","10-21-0",0.323
"27",1999,"Cheryl Condon","-","2-19-0",0.095
"28",1998,"Cheryl Condon","-","2-23-0",0.08
"29",1997,"Cheryl Condon","-","6-14-0",0.3
"30",1996,"Cheryl Condon","-","14-15-0",0.483
"31",1995,"Cheryl Condon","-","12-12-0",0.5
"32",1994,"Cheryl Condon","-","14-13-0",0.519
"33",1993,"Cheryl Condon","-","11-6-0",0.647
"34",1992,"Cheryl Condon","-","7-10-0",0.412
"35",1991,"Cheryl Condon","-","8-9-0",0.471
"36",1990,"Cheryl Condon","-","5-7-0",0.417
"37",1989,"Cheryl Condon","-","10-4-0",0.714
"38",1988,"Cheryl Condon","-","9-5-0",0.643
"39",1987,"Cheryl Condon","-","8-9-0",0.471
"40",1986,"Kate Mullen","-","9-6-0",0.6
