"","season","head_coach","conference","record","win_perc"
"1",2025,"Carissa Cicolini","MASCAC","4-22-0",0.154
"2",2024,"Carissa Cicolini","MASCAC","11-26-0",0.297
"3",2023,"Dick Hurley","MASCAC","15-23-0",0.395
"4",2022,"Merry MacDonald","MASCAC","17-21-0",0.447
"5",2021,"Merry MacDonald","MASCAC","10-14-0",0.417
"6",2020,"Merry MacDonald","MASCAC","6-4-0",0.6
"7",2019,"Merry MacDonald","MASCAC","26-16-0",0.619
"8",2018,"Merry MacDonald","MASCAC","13-20-0",0.394
"9",2017,"Merry MacDonald","MASCAC","11-19-0",0.367
"10",2016,"Merry MacDonald","MASCAC","19-18-0",0.514
"11",2015,"Merry MacDonald","MASCAC","11-16-0",0.407
"12",2014,"Merry MacDonald","MASCAC","14-17-0",0.452
"13",2013,"Merry MacDonald","MASCAC","20-22-0",0.476
"14",2012,"Frank Steffanidies","MASCAC","14-24-0",0.368
"15",2011,"Frank Steffanidies","MASCAC","14-23-0",0.378
"16",2010,"Frank Steffanidies","MASCAC","10-24-0",0.294
"17",2009,"Frank Steffanidies","MASCAC","5-27-0",0.156
"18",2008,"Frank Steffanidies","MASCAC","12-21-0",0.364
"19",2007,"Michelle Daley","MASCAC","19-18-0",0.514
"20",2006,"Michelle Daley","MASCAC","18-20-0",0.474
"21",2005,"Michelle Daley","MASCAC","15-21-0",0.417
"22",2004,"Michelle Daley","MASCAC","19-15-0",0.559
"23",2003,"Michelle Daley","MASCAC","19-15-0",0.559
"24",2002,"Michelle Daley","MASCAC","26-12-0",0.684
"25",2001,"Michelle Daley","-","14-11-1",0.56
"26",2000,"Lisa-Ann Wallace","-","20-5-0",0.8
"27",1999,"Lisa-Ann Wallace","-","19-20-0",0.487
"28",1998,"Lisa-Ann Wallace","-","21-14-1",0.6
"29",1997,"Lisa-Ann Wallace","-","11-25-0",0.306
"30",1996,"Lisa-Ann Wallace","-","8-17-0",0.32
"31",1995,"Ken Ellis","-","11-18-0",0.379
"32",1994,"Ken Ellis","-","7-17-0",0.292
"33",1993,"Ken Ellis","-","5-14-0",0.263
"34",1992,"Ken Ellis","-","4-18-0",0.182
"35",1991,"Cherry Bennett","-","10-15-0",0.4
"36",1990,"Jane Powers","-","10-12-0",0.455
