"","season","head_coach","conference","record","win_perc"
"1",2025,"Brittany Johnson","Peach Belt","14-17-0",0.452
"2",2024,"Kenneth Bellamy","Peach Belt","28-28-0",0.5
"3",2023,"Jamie Grodecki","Peach Belt","26-24-0",0.52
"4",2022,"Jamie Grodecki","Peach Belt","12-32-0",0.273
"5",2021,"Jamie Grodecki","Peach Belt","11-25-0",0.306
"6",2020,"Jamie Grodecki","Peach Belt","8-14-0",0.364
"7",2019,"Jamie Grodecki","Peach Belt","34-18-0",0.654
"8",2018,"Jamie Grodecki","Peach Belt","36-16-0",0.692
"9",2017,"Jamie Grodecki","Peach Belt","30-19-0",0.612
"10",2016,"Jamie Grodecki","Peach Belt","41-18-0",0.695
"11",2015,"Jamie Grodecki","Peach Belt","47-11-0",0.81
"12",2014,"Jamie Grodecki","Peach Belt","34-17-0",0.667
"13",2013,"Jamie Grodecki","Peach Belt","37-17-0",0.685
"14",2012,"Jamie Grodecki","Peach Belt","25-24-0",0.51
"15",2011,"Jamie Grodecki","Peach Belt","15-35-0",0.3
"16",2010,"Ginger Chaffinch","Peach Belt","13-32-0",0.289
"17",2009,"Ginger Chaffinch","Peach Belt","32-24-0",0.571
"18",2008,"Ginger Chaffinch","Peach Belt","40-14-0",0.741
"19",2007,"Ginger Chaffinch","Peach Belt","35-21-0",0.625
"20",2006,"Ginger Chaffinch","Peach Belt","45-13-0",0.776
"21",2005,"Ginger Chaffinch","Peach Belt","24-17-0",0.585
"22",2004,"Windy Thees","Peach Belt","33-18-0",0.647
"23",2003,"Windy Thees","Peach Belt","42-9-0",0.824
"24",2002,"Windy Thees","Peach Belt","33-19-0",0.635
"25",2001,"Windy Thees","-","23-24-0",0.489
"26",2000,"Windy Thees","-","32-22-0",0.593
"27",1999,"Sondi Creglow","-","19-34-1",0.358
"28",1998,"Sondi Creglow","-","15-27-1",0.357
"29",1997,"Sondi Creglow","-","22-25-0",0.468
"30",1996,"Sondi Creglow","-","8-43-0",0.157
"31",1995,"Sondi Creglow","-","9-36-0",0.2
"32",1994,"Blanche Lamb","-","9-26-0",0.257
"33",1993,"Demoonie Blanche","-","12-23-0",0.343
