"","season","head_coach","conference","record","win_perc"
"1",2025,"Julie Meyer","CACC","4-38-0",0.095
"2",2024,"Julie Meyer","CACC","7-39-0",0.152
"3",2023,"Julie Meyer","CACC","16-34-0",0.32
"4",2022,"Julie Meyer","CACC","20-20-0",0.5
"5",2021,"Tracey Garofalo","CACC","19-10-0",0.655
"6",2020,"Tracey Garofalo","CACC","6-3-0",0.667
"7",2019,"Tracey Garofalo","CACC","23-21-0",0.523
"8",2018,"Tracey Garofalo","CACC","19-26-0",0.422
"9",2017,"Tracey Garofalo","CACC","19-27-0",0.413
"10",2016,"Tracey Garofalo","CACC","25-23-0",0.521
"11",2015,"Tracey Garofalo","CACC","24-19-0",0.558
"12",2014,"Tracey Garofalo","CACC","24-22-0",0.522
"13",2013,"Tracey Garofalo","CACC","17-30-0",0.362
"14",2012,"Tracey Garofalo","CACC","19-32-0",0.373
"15",2011,"Tracey Garofalo","CACC","24-24-0",0.5
"16",2010,"Tracey Garofalo","CACC","16-30-0",0.348
"17",2009,"Tracey Garofalo","CACC","25-20-0",0.556
"18",2008,"Tracey Garofalo","CACC","22-26-0",0.458
"19",2007,"Dawn Spellman-Mara","CACC","18-25-0",0.419
"20",2006,"Dawn Spellman-Mara","CACC","20-28-0",0.417
"21",2005,"Dawn Spellman-Mara","CACC","23-22-0",0.511
"22",2004,"LuAnn Mott","CACC","27-18-1",0.6
"23",2002,"Dawn Spellman-Mara","-","28-25-1",0.528
"24",2001,"Dawn Spellman-Mara","-","20-22-0",0.476
"25",1999,"Sean Cotter","-","33-16-0",0.673
