"","season","head_coach","conference","record","win_perc"
"1",2025,"Kathleen Jacoby","SLIAC","12-9-0",0.571
"2",2024,"Kathleen Jacoby","SLIAC","14-21-0",0.4
"3",2023,"Leslie Messina","SLIAC","11-25-0",0.306
"4",2022,"Leslie Messina","SLIAC","11-20-0",0.355
"5",2021,"Kerry Crum","SLIAC","4-17-0",0.19
"6",2020,"Kerry Crum","SLIAC","0-6-0",0
"7",2019,"Kerry Crum","SLIAC","12-20-0",0.375
"8",2018,"Kerry Crum","SLIAC","16-25-0",0.39
"9",2017,"Kerry Crum","SLIAC","13-17-0",0.433
"10",2016,"Kerry Crum","SLIAC","2-28-0",0.067
"11",2015,"Paula Cummings","SLIAC","5-31-0",0.139
"12",2014,"Paula Cummings","SLIAC","6-32-0",0.158
"13",2013,"Paula Cummings","SLIAC","17-16-0",0.515
"14",2012,"Ryan Sackett","SLIAC","20-21-0",0.488
"15",2011,"Ryan Sackett","SLIAC","19-20-0",0.487
"16",2010,"Ryan Sackett","SLIAC","8-24-0",0.25
"17",2009,"Kim Fraser","SLIAC","3-31-0",0.088
"18",2008,"Kim Fraser","SLIAC","14-14-0",0.5
"19",2007,"Kim Fraser","SLIAC","18-16-0",0.529
"20",2006,"Kim Fraser","SLIAC","10-29-0",0.256
"21",2005,"Kim Fraser","SLIAC","8-32-0",0.2
"22",2004,"Tony Etnier","SLIAC","13-16-0",0.448
"23",2003,"Eli Koenn-Bollinger","SLIAC","10-18-1",0.357
"24",2001,"Eli Koenn-Bollinger","-","25-18-0",0.581
"25",1996,"Eli Koenn-Bollinger","-","6-23-0",0.207
"26",1995,"Eli Koenn-Bollinger","-","3-22-0",0.12
"27",1993,"Geraldine Albins","-","1-13-0",0.071
