"","season","head_coach","conference","record","win_perc"
"1",2025,"Josh Freeman","ODAC","12-16-0",0.429
"2",2024,"Josh Freeman","ODAC","9-29-0",0.237
"3",2023,"Gerald Culler","ODAC","11-25-0",0.306
"4",2022,"Gerald Culler","ODAC","22-17-0",0.564
"5",2021,"Gerald Culler","ODAC","16-22-0",0.421
"6",2020,"Gerald Culler","ODAC","12-3-0",0.8
"7",2019,"Gerald Culler","ODAC","20-20-0",0.5
"8",2018,"Gerald Culler","USA South","23-13-0",0.639
"9",2017,"Gerald Culler","USA South","23-19-0",0.548
"10",2016,"Gerald Culler","USA South","26-18-0",0.591
"11",2015,"Vickie Van Kleeck","USA South","23-17-0",0.575
"12",2014,"Vickie Van Kleeck","USA South","25-13-0",0.658
"13",2013,"Vickie Van Kleeck","USA South","34-12-0",0.739
"14",2012,"Vickie Van Kleeck","USA South","36-14-0",0.72
"15",2011,"Vickie Van Kleeck","USA South","26-13-0",0.667
"16",2010,"Vickie Van Kleeck","USA South","31-16-0",0.66
"17",2009,"Vickie Van Kleeck","USA South","18-21-0",0.462
"18",2008,"Vickie Van Kleeck","USA South","19-23-0",0.452
"19",2007,"Vickie Van Kleeck","USA South","17-24-0",0.415
"20",2006,"Vickie Van Kleeck","USA South","23-21-0",0.523
"21",2005,"Vickie Van Kleeck","USA South","26-15-0",0.634
"22",2004,"Vickie Van Kleeck","USA South","28-15-1",0.651
"23",2003,"Vickie Van Kleeck","USA South","18-17-0",0.514
"24",2002,"Vickie Van Kleeck","USA South","24-19-0",0.558
"25",2001,"Vickie Van Kleeck","-","18-27-0",0.4
"26",2000,"Vickie Van Kleeck","-","22-22-0",0.5
"27",1999,"Vickie Van Kleeck","-","18-22-0",0.45
"28",1998,"Vickie Van Kleeck","-","21-17-0",0.553
"29",1997,"Vickie Van Kleeck","-","18-24-0",0.429
"30",1996,"Vickie Van Kleeck","-","25-19-0",0.568
"31",1995,"Vickie Van Kleeck","-","22-12-0",0.647
"32",1994,"Vickie Van Kleeck","-","15-14-0",0.517
"33",1993,"Vickie Van Kleeck","-","12-10-0",0.545
"34",1992,"Vickie Van Kleeck","-","10-20-0",0.333
