"","season","head_coach","conference","record","win_perc"
"1","2024","","-","NA-NA-0",0
"2","2023","","-","NA-NA-0",0
"3","2020","","-","NA-NA-0",0
"4","2019","","-","NA-NA-0",0
"5","2018","","-","NA-NA-0",0
"6","2017","","-","NA-NA-0",NA
"7","2016","","-","NA-NA-0",NA
"8","2015","","-","NA-NA-0",NA
"9","2014","","-","NA-NA-0",NA
"10","2013","","-","NA-NA-0",NA
"11","2012","","-","NA-NA-0",NA
"12","2011","","-","NA-NA-0",NA
"13","2010","","-","NA-NA-0",NA
"14","2009","","-","NA-NA-0",NA
"15","2008","","-","NA-NA-0",NA
"16","2007","","-","NA-NA-0",NA
"17","2006","","-","30-30-0",0.5
"18","2005","Brad Huskisson","-","29-16-0",0.644
"19","2004","Brad Huskisson","-","44-22-0",0.667
"20","2003","Brad Huskisson","-","NA-NA-0",NA
"21","2002","Brad Huskisson","-","NA-NA-0",NA
"22","2001","Brad Huskisson","-","NA-NA-0",NA
