"","season","head_coach","conference","record","win_perc"
"1",2025,"Caitlin Hitchcock","CNE","24-9-0",0.727
"2",2024,"Caitlin Hitchcock","CNE","24-20-0",0.545
"3",2023,"Caitlin Hitchcock","CNE","23-20-1",0.535
"4",2022,"Kristan Mallet","CNE","14-23-0",0.378
"5",2021,"Kristan Mallet","CNE","15-11-0",0.577
"6",2020,"Kristan Mallet","CNE","3-2-0",0.6
"7",2019,"Kristan Mallet","CNE","17-19-1",0.472
"8",2018,"Kristan Mallet","CNE","16-19-1",0.457
"9",2017,"Heather Korzec","CNE","16-16-0",0.5
"10",2016,"Heather Korzec","CNE","14-22-0",0.389
"11",2015,"Heather Korzec","CNE","11-18-0",0.379
"12",2014,"Kristan Mallet","CNE","12-21-0",0.364
"13",2013,"Kristan Mallet","CNE","5-29-0",0.147
"14",2012,"Kristan Mallet","CNE","15-20-0",0.429
"15",2011,"Kristan Mallet","CNE","22-17-0",0.564
"16",2010,"Kristan Mallet","CNE","16-22-1",0.421
"17",2009,"Steve Ross","CNE","17-24-0",0.415
"18",2008,"Steve Ross","CNE","26-17-0",0.605
"19",2007,"Steve Ross","CNE","19-17-1",0.528
"20",2006,"Steve Ross","CNE","21-18-0",0.538
"21",2005,"Steve Ross","CNE","8-20-0",0.286
"22",2004,"Linda Hendrickson","CNE","2-21-0",0.087
"23",2003,"Michael Moynihan","CNE","12-19-0",0.387
"24",2002,"Michael Moynihan","CNE","9-16-1",0.36
"25",2001,"Mindy Robinson","-","15-16-1",0.484
"26",2000,"Colleen Nasis","-","11-23-0",0.324
"27",1999,"Dan Santerre","-","17-19-0",0.472
"28",1998,"Dan Santerre","-","17-14-2",0.548
"29",1997,"Charlyn Robert","-","12-17-0",0.414
"30",1996,"Ann Depperman","-","20-15-0",0.571
"31",1995,"Ann Depperman","-","28-6-0",0.824
"32",1994,"Ann Depperman","-","15-4-0",0.789
"33",1993,"Ann Depperman","-","10-5-0",0.667
"34",1992,"Karen Tropp Veronesi","-","19-4-0",0.826
"35",1991,"Karen Tropp Veronesi","-","26-3-0",0.897
"36",1990,"Karen Tropp Veronesi","-","17-6-0",0.739
"37",1989,"Karen Tropp Veronesi","-","18-8-0",0.692
"38",1988,"Karen Tropp Veronesi","-","20-4-0",0.833
"39",1987,"Karen Tropp Veronesi","-","18-8-0",0.692
"40",1986,"Karen Tropp Veronesi","-","14-7-0",0.667
"41",1985,"Karen Tropp Veronesi","-","15-4-0",0.789
"42",1981,"Karen Mullins","-","5-6-0",0.455
"43",1980,"Karen Mullins","-","5-4-0",0.556
