"","season","head_coach","conference","record","win_perc"
"1",2025,"Crissy Strimple","The American","16-15-0",0.516
"2",2024,"Crissy Strimple","The American","30-23-0",0.566
"3",2023,"Crissy Strimple","The American","25-28-0",0.472
"4",2022,"Crissy Strimple","The American","18-30-1",0.375
"5",2021,"Crissy Strimple","The American","25-16-0",0.61
"6",2020,"Crissy Strimple","The American","13-11-0",0.542
"7",2019,"John Bargfeldt","The American","37-20-0",0.649
"8",2018,"John Bargfeldt","The American","34-25-0",0.576
"9",2017,"John Bargfeldt","The American","41-17-0",0.707
"10",2016,"John Bargfeldt","The American","35-21-0",0.625
"11",2015,"John Bargfeldt","The American","36-18-0",0.667
"12",2014,"John Bargfeldt","CUSA","53-9-0",0.855
"13",2013,"John Bargfeldt","CUSA","42-19-2",0.689
"14",2012,"John Bargfeldt","CUSA","42-14-0",0.75
"15",2011,"John Bargfeldt","CUSA","46-15-0",0.754
"16",2010,"John Bargfeldt","CUSA","31-21-0",0.596
"17",2009,"John Bargfeldt","CUSA","40-17-0",0.702
"18",2008,"John Bargfeldt","CUSA","34-25-0",0.576
"19",2007,"John Bargfeldt","CUSA","30-28-0",0.517
"20",2006,"John Bargfeldt","CUSA","34-24-0",0.586
"21",2005,"Christy Connoyer","WAC","31-30-0",0.508
"22",2004,"Jamie Pinkerton","WAC","45-18-0",0.714
"23",2003,"Jamie Pinkerton","WAC","34-29-0",0.54
"24",2002,"Jamie Pinkerton","WAC","48-16-0",0.75
"25",2001,"Jamie Pinkerton","WAC","13-42-0",0.236
"26",2000,"Lori Castellano","WAC","20-32-0",0.385
"27",1999,"Lori Castellano","WAC","19-39-0",0.328
"28",1998,"Lori Castellano","-","20-36-0",0.357
"29",1997,"Pattie Holthaus","WAC","17-40-0",0.298
"30",1996,"Pattie Holthaus","-","24-33-0",0.421
"31",1995,"Pattie Holthaus","-","10-35-0",0.222
"32",1994,"Pattie Holthaus","-","16-41-0",0.281
"33",1993,"Pattie Holthaus","-","2-43-0",0.044
