"","season","head_coach","conference","record","win_perc"
"1",2025,"Tori Roche","NEWMAC","14-7-0",0.667
"2",2024,"Dave Canan","NEWMAC","27-18-0",0.6
"3",2023,"Dave Canan","NEWMAC","24-21-0",0.533
"4",2022,"Dave Canan","NEWMAC","38-10-0",0.792
"5",2021,"Dave Canan","NEWMAC","15-3-0",0.833
"6",2020,"Dave Canan","NEWMAC","3-1-0",0.75
"7",2019,"Dave Canan","NEWMAC","25-15-0",0.625
"8",2018,"Dave Canan","NEWMAC","27-16-1",0.628
"9",2017,"Dave Canan","NEWMAC","33-16-0",0.673
"10",2016,"Dave Canan","NEWMAC","28-15-0",0.651
"11",2015,"Dave Canan","NEWMAC","23-18-0",0.561
"12",2014,"Dave Canan","NEWMAC","17-21-0",0.447
"13",2013,"Dave Canan","NEWMAC","34-14-0",0.708
"14",2012,"Dave Canan","NEWMAC","25-18-0",0.581
"15",2011,"Dave Canan","NEWMAC","23-19-0",0.548
"16",2010,"Dave Canan","NEWMAC","24-15-0",0.615
"17",2009,"Dave Canan","NEWMAC","20-22-0",0.476
"18",2008,"Dave Canan","NEWMAC","21-20-0",0.512
"19",2007,"Dave Canan","NEWMAC","27-16-1",0.628
"20",2006,"Dave Canan","NEWMAC","35-12-0",0.745
"21",2005,"Dave Canan","NEWMAC","38-8-0",0.826
"22",2004,"Dave Canan","NEWMAC","26-18-0",0.591
"23",2003,"Dave Canan","NEWMAC","18-16-0",0.529
"24",2002,"Dave Canan","NEWMAC","25-14-0",0.641
"25",2001,"Dave Canan","-","18-17-0",0.514
"26",2000,"Dave Canan","-","11-23-0",0.324
"27",1999,"Andy Dutton","-","7-23-0",0.233
"28",1998,"Andy Dutton","-","16-12-0",0.571
"29",1997,"Andy Dutton","-","11-14-0",0.44
"30",1996,"Andy Dutton","-","8-16-0",0.333
"31",1995,"Andy Dutton","-","14-12-0",0.538
"32",1994,"Andy Dutton","-","6-15-0",0.286
"33",1993,"Jon Anderson","-","3-12-0",0.2
"34",1992,"Jon Anderson","-","4-8-0",0.333
"35",1991,"Jon Anderson","-","5-9-0",0.357
"36",1990,"Jon Anderson","-","4-9-0",0.308
"37",1989,"Jon Anderson","-","1-6-0",0.143
"38",1988,"Jon Anderson","-","1-7-0",0.125
"39",1987,"Jon Anderson","-","5-4-0",0.556
