"","season","head_coach","conference","record","win_perc"
"1",2025,"Hannah Qualls","C2C","10-26-0",0.278
"2",2024,"Hannah Qualls","C2C","15-23-0",0.395
"3",2023,"Dee Conway","C2C","19-19-0",0.5
"4",2022,"Dee Conway","C2C","18-23-0",0.439
"5",2021,"Dee Conway","C2C","13-18-0",0.419
"6",2020,"Dee Conway","C2C","8-8-1",0.5
"7",2019,"Dee Conway","C2C","22-20-0",0.524
"8",2018,"Dee Conway","C2C","16-20-1",0.444
"9",2017,"Dee Conway","C2C","25-20-0",0.556
"10",2016,"Dee Conway","C2C","13-30-0",0.302
"11",2015,"Dee Conway","C2C","21-14-0",0.6
"12",2014,"Dee Conway","C2C","13-14-0",0.481
"13",2013,"Dee Conway","C2C","15-23-0",0.395
"14",2012,"Dee Conway","C2C","24-20-0",0.545
"15",2011,"Dee Conway","C2C","20-22-0",0.476
"16",2010,"Dee Conway","C2C","9-26-1",0.257
"17",2009,"Dee Conway","C2C","25-16-1",0.61
"18",2008,"Dee Conway","C2C","25-17-0",0.595
"19",2007,"Dee Conway","C2C","24-19-0",0.558
"20",2006,"Dee Conway","C2C","27-15-0",0.643
"21",2005,"Dee Conway","C2C","17-13-1",0.567
"22",2004,"Dee Conway","C2C","16-17-0",0.485
"23",2003,"Dee Conway","C2C","19-14-0",0.576
"24",2002,"Dee Conway","C2C","20-19-0",0.513
"25",2001,"Dee Conway","-","18-12-0",0.6
"26",2000,"Dee Conway","-","6-24-0",0.2
"27",1999,"Dee Conway","-","11-17-0",0.393
"28",1998,"Dee Conway","-","10-30-0",0.25
"29",1997,"Dee Conway","-","12-25-0",0.324
"30",1996,"Dee Conway","-","12-26-0",0.316
"31",1995,"Dee Conway","-","20-17-0",0.541
"32",1994,"Dee Conway","-","10-18-0",0.357
"33",1993,"Dee Conway","-","18-11-0",0.621
"34",1992,"Dee Conway","-","28-10-0",0.737
"35",1991,"Dee Conway","-","20-12-0",0.625
"36",1990,"Dee Conway","-","18-13-0",0.581
"37",1989,"Dee Conway","-","7-19-0",0.269
"38",1988,"Dee Conway","-","11-21-0",0.344
