"","season","head_coach","conference","record","win_perc"
"1","2024","Kim Wilson","NJAC","0-0-0",0
"2","2023","Kim Wilson","NJAC","42-10-0",0.808
"3","2022","Kim Wilson","NJAC","35-10-0",0.778
"4","2021","Kim Wilson","NJAC","27-7-0",0.794
"5","2020","Kim Wilson","NJAC","5-2-1",0.688
"6","2019","Kim Wilson","NJAC","33-15-0",0.688
"7","2018","Kim Wilson","NJAC","39-13-1",0.745
"8","2017","Kim Wilson","NJAC","33-11-0",0.75
"9","2016","Kim Wilson","NJAC","42-11-0",0.792
"10","2015","Kim Wilson","NJAC","38-8-0",0.826
"11","2014","Kim Wilson","NJAC","37-12-0",0.755
"12","2013","Kim Wilson","NJAC","41-9-0",0.82
"13","2012","Kim Wilson","NJAC","39-9-0",0.813
"14","2011","Kim Wilson","NJAC","31-13-0",0.705
"15","2010","Kim Wilson","NJAC","28-13-0",0.683
"16","2009","Kim Wilson","NJAC","35-12-0",0.745
"17","2008","Kim Wilson","NJAC","31-11-0",0.738
"18","2007","Kim Wilson","NJAC","23-17-0",0.575
"19","2006","Kim Wilson","NJAC","41-7-0",0.854
"20","2005","Kim Wilson","NJAC","25-14-0",0.641
"21","2004","Kim Wilson","NJAC","28-10-0",0.737
"22","2003","Kim Wilson","NJAC","19-15-0",0.559
"23","2002","Kim Wilson","NJAC","33-16-0",0.673
"24","2001","Kim Wilson","-","34-11-0",0.756
"25","2000","Kim Wilson","-","32-13-0",0.711
"26","1999","Kim Wilson","-","37-10-0",0.787
"27","1998","Kim Wilson","-","35-9-0",0.795
"28","1997","Kim Wilson","-","35-5-0",0.875
"29","1996","Bill Mulvihill","-","32-9-0",0.78
"30","1995","Kim Franchi (10-2)Bill Mulvihill (22-12)","-","0-0-0",NA
"31","1994","Kim Franchi","-","37-9-0",0.804
"32","1993","Kim Franchi","-","35-14-0",0.714
"33","1992","Kim Franchi","-","30-14-0",0.682
"34","1991","Dawn Bunting","-","23-12-0",0.657
"35","1990","Dawn Bunting","-","29-14-0",0.674
"36","1989","Dawn Bunting","-","27-12-0",0.692
"37","1988","Dawn Bunting","-","26-15-0",0.634
"38","1987","Dawn Bunting","-","27-13-0",0.675
"39","1986","Dawn Bunting","-","21-12-0",0.636
"40","1985","","-","0-0-0",NA
"41","1981","","-","0-0-0",NA
