"","season","head_coach","conference","record","win_perc"
"1",2025,"Jen Sewell","MVC","1-4-0",0.2
"2",2024,"Jen Sewell","MVC","44-11-0",0.8
"3",2023,"Jen Sewell","MVC","36-20-0",0.643
"4",2022,"Jen Sewell (21-13-1)Kerri Blaylock (6-6)","MVC","27-19-1",0.587
"5",2021,"Kerri Blaylock","MVC","37-16-0",0.698
"6",2020,"Kerri Blaylock","MVC","15-6-0",0.714
"7",2019,"Kerri Blaylock","MVC","34-15-0",0.694
"8",2018,"Kerri Blaylock","MVC","31-22-0",0.585
"9",2017,"Kerri Blaylock","MVC","33-24-0",0.579
"10",2016,"Kerri Blaylock","MVC","33-19-0",0.635
"11",2015,"Kerri Blaylock","MVC","22-29-1",0.431
"12",2014,"Kerri Blaylock","MVC","28-24-0",0.538
"13",2013,"Kerri Blaylock","MVC","25-27-0",0.481
"14",2012,"Kerri Blaylock","MVC","36-20-0",0.643
"15",2011,"Kerri Blaylock","MVC","36-17-0",0.679
"16",2010,"Kerri Blaylock","MVC","38-20-0",0.655
"17",2009,"Kerri Blaylock","MVC","33-13-0",0.717
"18",2008,"Kerri Blaylock","MVC","30-24-0",0.556
"19",2007,"Kerri Blaylock","MVC","41-16-0",0.719
"20",2006,"Kerri Blaylock","MVC","35-13-0",0.729
"21",2005,"Kerri Blaylock","MVC","47-14-0",0.77
"22",2004,"Kerri Blaylock","MVC","45-17-0",0.726
"23",2003,"Kerri Blaylock","MVC","39-14-0",0.736
"24",2002,"Kerri Blaylock","MVC","31-17-0",0.646
"25",2001,"Kerri Blaylock","MVC","36-19-0",0.655
"26",2000,"Kerri Blaylock","MVC","41-22-0",0.651
"27",1999,"Kay Brechtelsbauer","MVC","38-20-0",0.655
"28",1998,"Kay Brechtelsbauer","-","32-17-1",0.653
"29",1997,"Kay Brechtelsbauer","MVC","41-16-0",0.719
"30",1996,"Kay Brechtelsbauer","-","26-21-0",0.553
"31",1995,"Kay Brechtelsbauer","-","24-24-0",0.5
"32",1994,"Kay Brechtelsbauer","-","29-16-0",0.644
"33",1993,"Kay Brechtelsbauer","-","34-12-0",0.739
"34",1992,"Kay Brechtelsbauer","-","33-25-1",0.569
"35",1991,"Kay Brechtelsbauer","-","40-7-0",0.851
"36",1990,"Kay Brechtelsbauer","-","31-10-0",0.756
"37",1989,"Kay Brechtelsbauer","-","24-22-0",0.522
"38",1988,"Kay Brechtelsbauer","-","30-20-0",0.6
"39",1987,"Kay Brechtelsbauer","-","25-20-0",0.556
"40",1986,"Kay Brechtelsbauer","-","23-21-0",0.523
"41",1985,"Kay Brechtelsbauer","-","24-19-0",0.558
"42",1984,"Kay Brechtelsbauer","-","12-21-0",0.364
"43",1983,"Kay Brechtelsbauer","-","18-16-0",0.529
"44",1982,"Kay Brechtelsbauer","-","25-24-0",0.51
"45",1981,"Kay Brechtelsbauer","-","11-22-0",0.333
"46",1980,"Kay Brechtelsbauer","-","11-11-1",0.5
"47",1979,"Kay Brechtelsbauer","-","24-9-0",0.727
"48",1978,"Kay Brechtelsbauer","-","21-11-0",0.656
"49",1977,"Kay Brechtelsbauer","-","20-10-0",0.667
"50",1976,"Kay Brechtelsbauer","-","9-7-0",0.562
"51",1975,"Kay Brechtelsbauer","-","8-7-0",0.533
"52",1974,"Kay Brechtelsbauer","-","4-9-0",0.308
"53",1973,"Kay Brechtelsbauer","-","5-5-0",0.5
"54",1972,"Kay Brechtelsbauer","-","1-8-0",0.111
"55",1971,"Kay Brechtelsbauer","-","6-3-0",0.667
"56",1970,"Kay Brechtelsbauer","-","4-2-0",0.667
"57",1969,"Kay Brechtelsbauer","-","3-2-0",0.6
"58",1968,"Kay Brechtelsbauer","-","5-1-0",0.833
