"","season","head_coach","conference","record","win_perc"
"1",2025,"Angela Dabu","UMAC","10-8-0",0.556
"2",2024,"Dan Nessler","UMAC","29-14-0",0.674
"3",2023,"Dan Nessler","UMAC","30-14-0",0.682
"4",2022,"Dan Nessler","UMAC","29-16-0",0.644
"5",2021,"Dan Nessler","UMAC","21-17-0",0.553
"6",2020,"Dan Nessler","UMAC","5-9-0",0.357
"7",2019,"Dan Nessler","UMAC","27-13-0",0.675
"8",2018,"Dan Nessler","UMAC","17-19-0",0.472
"9",2017,"Dan Nessler","UMAC","15-24-0",0.385
"10",2016,"Renee Tatge","UMAC","7-23-0",0.233
"11",2015,"Renee Tatge","UMAC","13-23-0",0.361
"12",2014,"Renee Tatge","UMAC","9-27-0",0.25
"13",2013,"Renee Tatge","UMAC","23-20-0",0.535
"14",2012,"Renee Tatge","UMAC","14-25-0",0.359
"15",2011,"Leigh Ann LaFave","UMAC","18-20-0",0.474
"16",2010,"Leigh Ann LaFave","UMAC","19-21-0",0.475
"17",2009,"Leigh Ann LaFave","UMAC","9-27-0",0.25
"18",2008,"Leigh Ann LaFave","-","6-18-0",0.25
"19",2007,"Leigh Ann LaFave","-","9-28-0",0.243
"20",2006,"","-","6-24-0",0.2
