"","season","head_coach","conference","record","win_perc"
"1","2025","Kristen McGaughey","Liberty League","0-0-0","  NaN"
"2","2024","Kristen McGaughey","Liberty League","11-25-0","0.306"
"3","2023","Kristen McGaughey","Liberty League","20-17-0","0.541"
"4","2022","Kristen McGaughey","Liberty League","15-17-0","0.469"
"5","2021","Kristen McGaughey","Liberty League","18-14-0","0.562"
"6","2020","Kristen McGaughey","Liberty League","5-4-0","0.556"
"7","2019","Kristen McGaughey","Liberty League","25-15-0","0.625"
"8","2018","Kristen McGaughey","Liberty League","8-25-1","0.242"
"9","2017","Kristen McGaughey","Liberty League","22-17-0","0.564"
"10","2016","Kristen McGaughey","Liberty League","20-14-0","0.588"
"11","2015","Kristen McGaughey","Liberty League","18-13-0","0.581"
"12","2014","Kristen McGaughey","Liberty League","6-26-0","0.188"
