"","season","head_coach","conference","record","win_perc"
"1",2025,"Kelsey Chapman","G-MAC","2-7-0",0.222
"2",2024,"Kelsey Chapman","G-MAC","24-31-0",0.436
"3",2023,"Kelsey Chapman","G-MAC","22-26-0",0.458
"4",2022,"Kelsey Chapman","G-MAC","24-19-0",0.558
"5",2021,"Wes Rowe","G-MAC","21-22-0",0.488
"6",2020,"Wes Rowe","G-MAC","5-19-0",0.208
"7",2019,"Wes Rowe","G-MAC","33-17-0",0.66
"8",2018,"Wes Rowe","G-MAC","31-18-0",0.633
"9",2017,"Wes Rowe","G-MAC","33-20-0",0.623
"10",2016,"Wes Rowe","G-MAC","28-31-0",0.475
"11",2015,"Wes Rowe","G-MAC","35-26-0",0.574
"12",2014,"Wes Rowe","G-MAC","35-19-0",0.648
"13",2013,"Wes Rowe","G-MAC","26-21-0",0.553
"14",2012,"Wes Rowe","Cedarville","35-23-0",0.603
"15",2011,"Wes Rowe","-","32-21-0",0.604
"16",2010,"Wes Rowe","-","21-29-0",0.42
"17",2009,"Wes Rowe","-","16-30-0",0.348
"18",2008,"Wes Rowe","-","18-24-0",0.429
"19",2007,"Kathy Freese","-","12-27-0",0.308
"20",2006,"Sue Carpenter","-","22-24-0",0.478
"21",2005,"Sue Carpenter","-","27-15-0",0.643
"22",2004,"Sue Carpenter","-","27-15-0",0.643
"23",2003,"Sue Carpenter","-","14-22-0",0.389
"24",2002,"Sue Carpenter","-","30-22-0",0.577
"25",2001,"Sue Carpenter","-","18-18-0",0.5
"26",2000,"Sue Carpenter","-","24-15-0",0.615
"27",1999,"Jim Irish","-","9-29-0",0.237
"28",1998,"Dave Gaffner","-","4-21-0",0.16
"29",1997,"Dave Gaffner","-","9-24-0",0.273
"30",1996,"Joy Fagan","-","19-20-1",0.487
"31",1995,"Kathy Freese","-","17-24-0",0.415
"32",1994,"Kathy Freese","-","9-26-0",0.257
"33",1993,"Kathy Freese","-","13-22-0",0.371
"34",1992,"Kathy Freese","-","11-16-0",0.407
"35",1991,"Chris Greenwood","-","8-19-0",0.296
"36",1990,"Bob Fires","-","29-5-0",0.853
"37",1989,"Bob Fires","-","12-14-0",0.462
"38",1988,"Bob Fires","-","14-11-0",0.56
"39",1987,"Mark Mathews","-","10-12-1",0.455
"40",1986,"Mark Mathews","-","9-16-0",0.36
"41",1985,"Elaine Brown","-","15-9-0",0.625
