"","season","head_coach","conference","record","win_perc"
"1",2025,"Claudia Stabile","NE10","24-8-0",0.75
"2",2024,"Claudia Stabile","NE10","33-16-0",0.673
"3",2023,"Claudia Stabile","NE10","27-25-0",0.519
"4",2022,"Claudia Stabile","NE10","28-21-0",0.571
"5",2021,"Claudia Stabile","NE10","9-20-0",0.31
"6",2020,"Claudia Stabile","NE10","6-1-0",0.857
"7",2019,"Claudia Stabile","NE10","23-20-0",0.535
"8",2018,"Claudia Stabile","NE10","27-22-0",0.551
"9",2017,"Claudia Stabile","NE10","18-23-0",0.439
"10",2016,"Claudia Stabile","NE10","28-16-0",0.636
"11",2015,"Claudia Stabile","NE10","25-17-0",0.595
"12",2014,"Claudia Stabile","NE10","18-22-0",0.45
"13",2013,"Claudia Stabile","NE10","14-24-0",0.368
"14",2012,"Claudia Stabile","NE10","28-20-0",0.583
"15",2011,"Claudia Stabile","NE10","20-25-0",0.444
"16",2010,"Claudia Stabile","NE10","23-27-0",0.46
"17",2009,"Claudia Stabile","NE10","21-25-0",0.457
"18",2008,"Claudia Stabile","NE10","29-19-0",0.604
"19",2007,"Claudia Stabile","NE10","18-30-0",0.375
"20",2006,"Claudia Stabile","NE10","17-28-1",0.378
"21",2005,"Claudia Stabile","NE10","16-28-0",0.364
"22",2004,"Claudia Stabile","NE10","26-16-0",0.619
"23",2003,"Claudia Stabile","NE10","33-18-0",0.647
"24",2002,"Claudia Stabile","NE10","33-17-0",0.66
"25",2001,"Claudia Stabile","-","21-20-1",0.512
"26",2000,"Claudia Stabile","-","23-18-0",0.561
"27",1999,"Claudia Stabile","-","29-17-0",0.63
"28",1998,"Claudia Stabile","-","16-21-0",0.432
"29",1997,"Claudia Stabile","-","20-17-0",0.541
"30",1996,"Claudia Stabile","-","8-31-0",0.205
"31",1995,"Claudia Stabile","-","19-27-0",0.413
"32",1994,"Claudia Stabile","-","12-23-0",0.343
"33",1993,"Claudia Stabile","-","13-15-0",0.464
"34",1992,"Claudia Stabile","-","8-19-0",0.296
"35",1991,"Claudia Stabile","-","20-13-2",0.606
"36",1990,"Claudia Stabile","-","69-94-0",0.423
"37",1989,"Claudia Stabile","-","29-10-0",0.744
"38",1988,"Claudia Stabile","-","1-1-0",0.5
"39",1987,"Claudia Stabile","-","15-16-0",0.484
"40",1986,"Claudia Stabile","-","15-16-0",0.484
"41",1985,"Claudia Stabile","-","1-1-0",0.5
"42",1984,"Claudia Stabile","-","1-1-0",0.5
"43",1983,"Claudia Stabile","-","1-1-0",0.5
"44",1982,"Claudia Stabile","-","1-1-0",0.5
