"","season","head_coach","conference","record","win_perc"
"1","2023","Jessica Rodgers","PacWest","13-34-0","0.277"
"2","2022","Jessica Rodgers","PacWest","11-37-0","0.229"
"3","2021","Jessica Rodgers","PacWest","7-17-0","0.292"
"4","2020","Jessica Rodgers","PacWest","6-6-0","0.500"
"5","2019","Alyssa Smoke (9-18)Geena Garabedian (4-14)","PacWest","13-32-0","0.289"
"6","2018","Alyssa Smoke","PacWest","4-40-0","0.091"
"7","2017","Alyssa Smoke","PacWest","5-43-0","0.104"
"8","2016","Alyssa Smoke","-","14-34-1","0.292"
"9","2015","Alyssa Smoke","-","9-45-0","0.167"
"10","2014","Jennifer Chamberlin","-","12-41-0","0.226"
"11","2013","","-","16-40-0","0.286"
