"","season","head_coach","conference","record","win_perc"
"1",2025,"Lindsay Diehl","MVC","6-13-0",0.316
"2",2024,"Lindsay Diehl","MVC","23-26-0",0.469
"3",2023,"Rich Calvert","MVC","18-34-0",0.346
"4",2022,"Rich Calvert","MVC","21-29-0",0.42
"5",2021,"Rich Calvert","MVC","19-30-0",0.388
"6",2020,"Rich Calvert","MVC","8-16-0",0.333
"7",2019,"Rich Calvert","MVC","43-16-0",0.729
"8",2018,"Rich Calvert","MVC","45-12-0",0.789
"9",2017,"Rich Calvert","MVC","28-27-0",0.509
"10",2016,"Rich Calvert","MVC","30-24-0",0.556
"11",2015,"Rich Calvert","MVC","32-21-0",0.604
"12",2014,"Rich Calvert","MVC","19-33-0",0.365
"13",2013,"Rich Calvert","MVC","29-20-0",0.592
"14",2012,"Rich Calvert","MVC","29-28-0",0.509
"15",2011,"Rich Calvert","MVC","34-21-0",0.618
"16",2010,"Rich Calvert","MVC","32-22-0",0.593
"17",2009,"Rich Calvert","MVC","30-23-0",0.566
"18",2008,"Rich Calvert","MVC","29-26-0",0.527
"19",2007,"Rich Calvert","MVC","16-36-0",0.308
"20",2006,"Rich Calvert","MVC","24-30-0",0.444
"21",2005,"Rich Calvert","MVC","28-25-0",0.528
"22",2004,"Rich Calvert","MVC","30-24-0",0.556
"23",2003,"Rich Calvert","MVC","23-27-0",0.46
"24",2002,"Emily Rottinghaus","MVC","10-39-0",0.204
"25",2001,"Emily Rottinghaus","MVC","19-34-1",0.358
"26",2000,"Emily Rottinghaus","MVC","22-33-0",0.4
"27",1999,"Megan Bryant","MVC","15-25-1",0.375
"28",1998,"Megan Bryant","-","19-24-0",0.442
"29",1997,"Megan Bryant","MVC","30-22-1",0.577
"30",1996,"Megan Bryant","-","31-14-1",0.689
"31",1995,"Megan Bryant","-","27-25-0",0.519
"32",1994,"Megan Bryant","-","32-24-0",0.571
"33",1993,"Megan Bryant","-","35-16-0",0.686
"34",1992,"Megan Bryant","-","24-17-1",0.585
"35",1991,"Megan Bryant","-","22-32-0",0.407
"36",1990,"Megan Bryant","-","33-24-0",0.579
"37",1989,"Megan Bryant","-","13-44-0",0.228
