"","season","head_coach","conference","record","win_perc"
"1",2025,"Diane Lokey","PSAC","5-2-0",0.714
"2",2024,"Diane Lokey","PSAC","36-22-0",0.621
"3",2023,"Diane Lokey","PSAC","37-19-0",0.661
"4",2022,"Diane Lokey","PSAC","24-22-0",0.522
"5",2021,"Diane Lokey","PSAC","34-16-0",0.68
"6",2020,"Diane Lokey","PSAC","12-3-0",0.8
"7",2019,"Diane Lokey","PSAC","40-22-0",0.645
"8",2018,"Diane Lokey","PSAC","45-15-0",0.75
"9",2017,"Diane Lokey","PSAC","48-13-0",0.787
"10",2016,"Diane Lokey","PSAC","47-9-0",0.839
"11",2015,"Diane Lokey","PSAC","40-16-0",0.714
"12",2014,"Diane Lokey","PSAC","39-21-0",0.65
"13",2013,"Diane Lokey","PSAC","37-21-0",0.638
"14",2012,"Diane Lokey","PSAC","28-25-0",0.528
"15",2011,"Diane Lokey","PSAC","34-19-0",0.642
"16",2010,"Diane Lokey","PSAC","32-18-0",0.64
"17",2009,"Diane Lokey","PSAC","28-20-0",0.583
"18",2008,"Diane Lokey","PSAC","32-22-0",0.593
"19",2007,"Diane Lokey","PSAC","19-28-0",0.404
"20",2006,"Diane Lokey","PSAC","21-27-0",0.438
"21",2005,"Diane Lokey","PSAC","18-27-0",0.4
"22",2004,"Diane Lokey","PSAC","30-27-1",0.526
"23",2003,"Joy Figueredo","PSAC","23-19-0",0.548
"24",2002,"Joy Figueredo","-","19-28-1",0.404
"25",2001,"Joy Figueredo","-","21-31-0",0.404
"26",2000,"Joy Figueredo","-","15-29-0",0.341
"27",1999,"Kim Franchi","-","19-32-0",0.373
"28",1998,"Kim Franchi","-","19-32-0",0.373
"29",1997,"Kim Franchi","-","21-24-0",0.467
"30",1996,"Sonya Wilmoth","-","28-24-0",0.538
"31",1995,"Sonya Wilmoth","-","18-29-0",0.383
"32",1994,"Sonya Wilmoth","-","6-23-0",0.207
"33",1993,"Sonya Wilmoth","-","8-21-0",0.276
"34",1992,"Sonya Wilmoth","-","5-26-0",0.161
"35",1991,"Sonya Wilmoth","-","7-21-0",0.25
"36",1990,"Sonya Wilmoth","-","15-17-0",0.469
