"","season","head_coach","conference","record","win_perc"
"1","2023","","-","NA-NA-0",0
"2","2022","","-","NA-NA-0",0
"3","2021","","-","NA-NA-0",0
"4","2020","","-","NA-NA-0",0
"5","2017","","-","NA-NA-0",NA
"6","2016","","-","NA-NA-0",NA
"7","2015","Glen Crawford","-","28-19-0",0.596
"8","2014","Glen Crawford","-","31-6-0",0.838
"9","2013","Glen Crawford","-","36-3-0",0.923
"10","2012","Glen Crawford","-","24-6-0",0.8
"11","2011","Glen Crawford","-","26-3-0",0.897
"12","2010","Glen Crawford","-","26-4-0",0.867
"13","2009","Glen Crawford","-","26-20-0",0.565
"14","2008","Glen Crawford","-","25-20-0",0.556
"15","2007","Chris Steiner-Wilcoxson","-","33-21-0",0.611
"16","2006","Chris Steiner-Wilcoxson","-","36-20-0",0.643
"17","2005","Chris Steiner-Wilcoxson","-","15-39-0",0.278
