"","season","head_coach","conference","record","win_perc"
"1",2025,"Dani Bishop","UAA","7-19-1",0.269
"2",2024,"Dani Bishop","UAA","18-19-0",0.486
"3",2023,"Dani Bishop","UAA","25-13-0",0.658
"4",2022,"Dani Bishop","UAA","22-18-0",0.55
"5",2021,"Dani Bishop","UAA","14-3-0",0.824
"6",2020,"Emily Kraytenberg","UAA","3-4-0",0.429
"7",2019,"Danielle DelPonte","UAA","29-7-1",0.806
"8",2018,"Danielle DelPonte","UAA","11-21-0",0.344
"9",2017,"Danielle DelPonte","UAA","13-17-0",0.433
"10",2016,"Danielle DelPonte","UAA","18-19-0",0.486
"11",2015,"Brittany Grimm","UAA","21-14-0",0.6
"12",2014,"Jessica Johnson","UAA","21-18-0",0.538
"13",2013,"Jessica Johnson","UAA","23-19-0",0.548
"14",2012,"Jessica Johnson","UAA","27-18-0",0.6
"15",2011,"Jessica Johnson","UAA","20-18-1",0.526
"16",2010,"Jessica Johnson","UAA","29-9-1",0.763
"17",2009,"Jessica Johnson","UAA","28-17-0",0.622
"18",2008,"Jessica Johnson","UAA","38-9-1",0.809
"19",2007,"Jessica Johnson","UAA","23-21-0",0.523
"20",2006,"Mary Sullivan","UAA","20-24-0",0.455
"21",2005,"Mary Sullivan","UAA","9-26-0",0.257
"22",2004,"Mary Sullivan","UAA","13-21-0",0.382
"23",2003,"Mary Sullivan","UAA","17-9-0",0.654
"24",2002,"Mary Sullivan","-","14-18-0",0.438
"25",2001,"Mary Sullivan","-","12-18-1",0.4
"26",2000,"Mary Sullivan","-","13-16-0",0.448
"27",1999,"Mary Sullivan","-","29-13-0",0.69
"28",1998,"Mary Sullivan","-","14-20-0",0.412
"29",1997,"Mary Sullivan","-","12-14-1",0.462
"30",1996,"Mary Sullivan","-","9-22-0",0.29
"31",1995,"Mary Sullivan","-","20-14-0",0.588
"32",1994,"Mary Sullivan","-","11-13-0",0.458
"33",1993,"Mary Sullivan","-","13-10-0",0.565
"34",1992,"Mary Sullivan","-","10-8-0",0.556
"35",1991,"Mary Sullivan","-","11-12-0",0.478
"36",1990,"Mary Sullivan","-","17-7-0",0.708
"37",1989,"Mary Sullivan","-","12-10-0",0.545
"38",1988,"Mary Sullivan","-","13-8-0",0.619
"39",1987,"Mary Sullivan","-","12-6-0",0.667
"40",1986,"Mary Sullivan","-","13-6-0",0.684
"41",1985,"Mary Sullivan","-","7-11-0",0.389
"42",1984,"Mary Sullivan","-","14-3-0",0.824
"43",1983,"Mary Sullivan","-","8-7-0",0.533
"44",1982,"Mary Sullivan","-","5-5-0",0.5
"45",1981,"Mary Sullivan","-","4-39-0",0.093
"46",1980,"Mary Sullivan","-","1-1-0",0.5
"47",1979,"Mary Sullivan","-","1-1-0",0.5
"48",1978,"Mary Sullivan","-","1-1-0",0.5
"49",1977,"Mary Sullivan","-","1-1-0",0.5
"50",1976,"Mary Sullivan","-","1-1-0",0.5
"51",1975,"Mary Sullivan","-","1-1-0",0.5
