"","season","head_coach","conference","record","win_perc"
"1",2025,"Mattie Best","MEC","9-18-0",0.333
"2",2024,"Mattie Best","MEC","20-31-0",0.392
"3",2023,"Mattie Best","MEC","16-29-0",0.356
"4",2022,"Mattie Best","MEC","22-25-0",0.468
"5",2021,"Nip Anderson","MEC","29-14-0",0.674
"6",2020,"Mattie Best","MEC","9-13-0",0.409
"7",2019,"Mattie Best","MEC","35-16-0",0.686
"8",2018,"Mattie Best","MEC","35-22-0",0.614
"9",2017,"Kerri Blackwell","MEC","25-29-0",0.463
"10",2016,"Kerri Blackwell","MEC","26-28-0",0.481
"11",2015,"Kerri Blackwell","MEC","27-18-0",0.6
"12",2014,"Kerri Blackwell","MEC","26-27-0",0.491
"13",2013,"Bob Allen","WVIAC","42-14-0",0.75
"14",2012,"Bob Allen","WVIAC","47-15-0",0.758
"15",2011,"Bob Allen","WVIAC","33-14-0",0.702
"16",2010,"Bob Allen","WVIAC","34-23-0",0.596
"17",2009,"Bob Allen","WVIAC","30-19-0",0.612
"18",2008,"Bob Allen","WVIAC","41-16-0",0.719
"19",2007,"Bob Allen","WVIAC","28-31-0",0.475
"20",2006,"Bob Allen","WVIAC","41-20-1",0.672
"21",2005,"Bob Allen","WVIAC","22-24-0",0.478
"22",2004,"Denise Dietrich","WVIAC","23-17-0",0.575
"23",2003,"Denise Dietrich","-","32-14-0",0.696
"24",2002,"Denise Dietrich","WVIAC","23-15-0",0.605
"25",2001,"Denise Dietrich","-","15-21-0",0.417
"26",2000,"Denise Dietrich","-","21-20-0",0.512
"27",1999,"Denise Dietrich","-","25-16-0",0.61
"28",1998,"Denise Dietrich","-","20-18-0",0.526
"29",1997,"Denise Dietrich","-","23-14-0",0.622
"30",1996,"Denise Dietrich","-","2-29-0",0.065
