"","season","head_coach","conference","record","win_perc"
"1",2025,"Nicole Degenhardt","NJAC","23-15-0",0.605
"2",2024,"Nicole Degenhardt","NJAC","17-21-0",0.447
"3",2023,"Anita Kubicka (17-9)Eddie Stawinski (3-3)John Elliott (0-4)","NJAC","20-16-0",0.556
"4",2022,"Anita Kubicka","NJAC","23-18-0",0.561
"5",2021,"Anita Kubicka","NJAC","13-9-0",0.591
"6",2020,"Anita Kubicka","NJAC","10-2-0",0.833
"7",2019,"Anita Kubicka","NJAC","29-14-0",0.674
"8",2018,"Anita Kubicka","NJAC","23-13-0",0.639
"9",2017,"Anita Kubicka","NJAC","22-18-0",0.55
"10",2016,"Anita Kubicka","NJAC","20-18-0",0.526
"11",2015,"Anita Kubicka","NJAC","13-22-0",0.371
"12",2014,"Anita Kubicka","NJAC","42-8-0",0.84
"13",2013,"Anita Kubicka","NJAC","46-5-0",0.902
"14",2012,"Anita Kubicka","NJAC","44-9-0",0.83
"15",2011,"Anita Kubicka","NJAC","27-12-0",0.692
"16",2010,"Anita Kubicka","NJAC","21-15-0",0.583
"17",2009,"Anita Kubicka","NJAC","29-18-0",0.617
"18",2008,"Anita Kubicka","NJAC","43-6-0",0.878
"19",2007,"Anita Kubicka","NJAC","38-8-0",0.826
"20",2006,"Anita Kubicka","NJAC","33-13-0",0.717
"21",2005,"Anita Kubicka","NJAC","28-9-1",0.757
"22",2004,"Anita Kubicka","NJAC","34-10-0",0.773
"23",2003,"Anita Kubicka","NJAC","36-9-0",0.8
"24",2002,"Anita Kubicka","NJAC","30-11-0",0.732
"25",2001,"Anita Kubicka","-","36-12-0",0.75
"26",2000,"Anita Kubicka","-","31-10-1",0.756
"27",1999,"Anita Kubicka","-","37-10-0",0.787
"28",1998,"Anita Kubicka","-","27-10-0",0.73
"29",1997,"Anita Kubicka","-","38-11-0",0.776
"30",1996,"Anita Kubicka","-","33-10-0",0.767
"31",1995,"Anita Kubicka","-","37-11-0",0.771
"32",1994,"Anita Kubicka","-","29-19-0",0.604
"33",1993,"Anita Kubicka","-","31-10-0",0.756
"34",1992,"Anita Kubicka","-","27-18-0",0.6
"35",1991,"Anita Kubicka","-","19-20-0",0.487
"36",1990,"Willie Rucker","-","29-17-0",0.63
"37",1989,"Willie Rucker","-","28-12-0",0.7
"38",1988,"Willie Rucker","-","32-12-0",0.727
"39",1987,"Willie Rucker","-","34-10-0",0.773
"40",1986,"Willie Rucker","-","31-13-0",0.705
"41",1985,"Willie Rucker","-","28-12-0",0.7
"42",1984,"Willie Rucker","-","27-11-0",0.711
