"","season","head_coach","conference","record","win_perc"
"1",2025,"Brian Hensley","ODAC","12-6-0",0.667
"2",2024,"Brian Hensley","ODAC","14-25-0",0.359
"3",2023,"Brian Hensley","DIII Independent","13-23-0",0.361
"4",2017,"Danielle Delude","ODAC","0-26-0",0
"5",2016,"Danielle Delude","ODAC","3-11-0",0.214
"6",2015,"Danielle Delude","ODAC","5-23-0",0.179
"7",2014,"Danielle Delude","ODAC","3-23-0",0.115
"8",2013,"Danielle Delude","ODAC","0-22-0",0
"9",2012,"Danielle Delude","ODAC","0-22-0",0
"10",2011,"Danielle Delude","ODAC","0-20-0",0
"11",2010,"Danielle Delude","ODAC","5-30-0",0.143
"12",2009,"Tony Campbell","ODAC","4-29-0",0.121
"13",2008,"Tony Campbell","ODAC","11-26-0",0.297
"14",2007,"Tony Campbell","ODAC","14-24-0",0.368
"15",2006,"Tony Campbell","ODAC","7-23-0",0.233
"16",NA,"","","79-327-0",0.195
