"","season","head_coach","conference","record","win_perc"
"1",2025,"Tracie Adix-Zins","CCIW","3-5-0",0.375
"2",2024,"Scott Wachholz","CCIW","13-23-0",0.361
"3",2023,"Scott Wachholz","CCIW","15-21-0",0.417
"4",2022,"Scott Wachholz","CCIW","10-22-0",0.312
"5",2021,"Scott Wachholz","CCIW","10-22-0",0.312
"6",2019,"Mike Paulo","CCIW","9-24-0",0.273
"7",2018,"Mike Paulo","CCIW","16-19-0",0.457
"8",2017,"Mike Paulo","CCIW","19-19-0",0.5
"9",2016,"Mike Paulo","CCIW","18-20-0",0.474
"10",2015,"Mike Paulo","CCIW","20-18-0",0.526
"11",2014,"Mike Paulo","CCIW","15-15-0",0.5
"12",2013,"Mike Paulo","CCIW","17-15-0",0.531
"13",2012,"Lori Brown","CCIW","25-16-0",0.61
"14",2011,"Lori Brown","CCIW","15-23-0",0.395
"15",2010,"Lori Brown","CCIW","22-16-0",0.579
"16",2009,"Lori Brown","CCIW","14-22-0",0.389
"17",2008,"Lori Brown","CCIW","12-25-0",0.324
"18",2007,"Lori Brown","CCIW","12-28-0",0.3
"19",2006,"Lori Brown","CCIW","19-19-0",0.5
"20",2005,"Lori Brown","CCIW","20-19-0",0.513
"21",2004,"Lori Brown","CCIW","15-22-1",0.405
"22",2003,"Lori Brown","CCIW","15-21-0",0.417
"23",2002,"Lori Brown","CCIW","9-26-0",0.257
"24",2001,"Lori Brown","-","18-20-0",0.474
"25",2000,"Tom Cole","-","24-15-0",0.615
"26",1999,"Tom Cole","-","14-21-0",0.4
"27",1998,"Tom Cole","-","17-19-0",0.472
"28",1997,"Tom Cole","-","24-17-0",0.585
"29",1996,"Tom Cole","-","8-27-0",0.229
"30",1995,"Tom Cole","-","7-30-0",0.189
"31",1994,"Jeri Findlay","-","7-28-0",0.2
"32",1993,"Jeri Findlay","-","11-15-0",0.423
"33",1992,"Jeff Norris","-","25-8-0",0.758
"34",1991,"Jeff Norris","-","16-3-1",0.842
"35",1990,"Jeff Norris","-","8-25-0",0.242
