"","season","head_coach","conference","record","win_perc"
"1",2025,"Erin Kinberger","Sunshine State","5-5-0",0.5
"2",2024,"Erin Kinberger","Sunshine State","38-19-0",0.667
"3",2023,"Erin Kinberger","Sunshine State","43-12-0",0.782
"4",2022,"Erin Kinberger","Sunshine State","28-18-0",0.609
"5",2021,"Erin Kinberger","Sunshine State","18-12-0",0.6
"6",2020,"Erin Kinberger","Sunshine State","23-7-0",0.767
"7",2019,"Erin Kinberger","Sunshine State","31-18-0",0.633
"8",2018,"Erin Kinberger","Sunshine State","39-18-0",0.684
"9",2017,"Erin Kinberger","Sunshine State","37-15-0",0.712
"10",2016,"Erin Kinberger","Sunshine State","39-8-0",0.83
"11",2015,"Erin Kinberger","Sunshine State","39-12-0",0.765
"12",2014,"John Conway","Sunshine State","29-21-0",0.58
"13",2013,"John Conway","Sunshine State","40-16-0",0.714
"14",2012,"John Conway","Sunshine State","22-32-0",0.407
"15",2011,"John Conway","Sunshine State","25-29-0",0.463
"16",2010,"Christi Wade","Sunshine State","22-31-0",0.415
"17",2009,"Christi Wade","Sunshine State","30-25-0",0.545
"18",2008,"Christi Wade","Sunshine State","37-15-0",0.712
"19",2007,"Christi Wade","Sunshine State","33-20-0",0.623
"20",2006,"Christi Wade","Sunshine State","37-20-0",0.649
"21",2005,"Christi Wade","Sunshine State","35-17-0",0.673
"22",2004,"Christi Wade","Sunshine State","36-22-0",0.621
"23",2003,"Christi Wade","Sunshine State","24-31-0",0.436
"24",2002,"Christi Wade","-","42-17-0",0.712
"25",2001,"Christi Wade","-","33-18-0",0.647
"26",2000,"Christi Wade","-","39-18-0",0.684
"27",1999,"Christi Wade","-","36-20-0",0.643
"28",1998,"Christi Wade","-","30-36-0",0.455
"29",1997,"Christi Wade","-","19-36-0",0.345
"30",1996,"Kelly McArdle","-","24-22-0",0.522
"31",1995,"Ray Carver","-","34-10-0",0.773
"32",1994,"Ray Carver","-","35-20-0",0.636
"33",1993,"Ray Carver","-","21-26-0",0.447
"34",1992,"Ray Carver","-","25-23-0",0.521
"35",1991,"Ray Carver","-","26-19-0",0.578
"36",1990,"Ray Carver","-","15-22-0",0.405
"37",1989,"Ray Carver","-","20-19-0",0.513
"38",1988,"Ray Carver","-","17-19-1",0.472
"39",1987,"Ray Carver","-","16-15-0",0.516
"40",1986,"Ray Carver","-","7-24-0",0.226
