"","season","head_coach","conference","record","win_perc"
"1",2025,"Jeff Gillespie","SAA","7-7-0",0.5
"2",2024,"Mark Mulvany","SAA","11-26-0",0.297
"3",2023,"Caroline DeLoach","SAA","15-23-0",0.395
"4",2022,"Caroline DeLoach","SAA","19-22-0",0.463
"5",2021,"Caroline DeLoach","SAA","12-14-0",0.462
"6",2020,"Caroline DeLoach","SAA","13-9-0",0.591
"7",2019,"Caroline DeLoach","SAA","14-29-0",0.326
"8",2018,"Erin Clary","SAA","20-18-0",0.526
"9",2017,"Erin Clary","SAA","26-15-0",0.634
"10",2016,"Erin Clary","SAA","22-21-0",0.512
"11",2015,"Roland Rodriguez","SAA","18-13-0",0.581
"12",2014,"Roland Rodriguez","SAA","25-13-0",0.658
"13",2013,"Roland Rodriguez","SAA","24-20-0",0.545
"14",2012,"Roland Rodriguez","SCAC","19-20-0",0.487
"15",2011,"Roland Rodriguez","SCAC","16-24-0",0.4
"16",2010,"Roland Rodriguez","SCAC","24-18-0",0.571
"17",2009,"Roland Rodriguez","SCAC","15-22-0",0.405
"18",2008,"Roland Rodriguez","SCAC","20-14-0",0.588
"19",2007,"Roland Rodriguez","SCAC","12-26-0",0.316
"20",2006,"Joe Kinsella","SCAC","12-28-0",0.3
"21",2005,"Joe Kinsella","SCAC","22-17-0",0.564
"22",2004,"Joe Kinsella","SCAC","24-20-0",0.545
"23",2003,"Joe Kinsella","SCAC","28-11-0",0.718
"24",2002,"Joe Kinsella","SCAC","17-16-0",0.515
"25",2001,"Joe Kinsella","-","6-20-0",0.231
"26",2000,"Billy Stack","-","1-26-0",0.037
