"","season","head_coach","conference","record","win_perc"
"1",2025,"Joyce Maudie","CNE","17-9-0",0.654
"2",2024,"Joyce Maudie","CNE","23-17-0",0.575
"3",2023,"Joyce Maudie","CNE","13-26-0",0.333
"4",2022,"Joyce Maudie","CNE","12-31-0",0.279
"5",2021,"Joyce Maudie","CNE","17-15-0",0.531
"6",2020,"Joyce Maudie","CNE","5-5-0",0.5
"7",2019,"Joyce Maudie","CNE","19-23-0",0.452
"8",2018,"Joyce Maudie","CNE","6-28-1",0.176
"9",2017,"Joyce Maudie","CNE","26-18-0",0.591
"10",2016,"Joyce Maudie","CNE","24-19-0",0.558
"11",2015,"Joyce Maudie","CNE","14-17-0",0.452
"12",2014,"Joyce Maudie","CNE","20-17-0",0.541
"13",2013,"Joyce Maudie","CNE","24-20-0",0.545
"14",2012,"Joyce Maudie","CNE","19-23-0",0.452
"15",2011,"Joyce Maudie","CNE","20-24-0",0.455
"16",2010,"Steve Pappas","CNE","20-19-0",0.513
"17",2009,"Steve Pappas","CNE","28-17-0",0.622
"18",2008,"Steve Pappas","CNE","19-22-0",0.463
"19",2007,"Steve Pappas","CNE","33-14-0",0.702
"20",2006,"Steve Pappas","CNE","24-20-1",0.545
"21",2005,"Steve Pappas","CNE","30-10-0",0.75
"22",2004,"Steve Pappas","CNE","21-15-0",0.583
"23",2003,"Steve Pappas","CNE","14-18-0",0.438
"24",2002,"Steve Pappas","CNE","23-13-2",0.639
"25",2001,"Steve Pappas","-","26-8-1",0.765
"26",2000,"Steve Pappas","-","26-7-0",0.788
"27",1999,"Steve Pappas","-","15-15-0",0.5
"28",1998,"Steve Pappas","-","15-18-0",0.455
"29",1997,"Steve Pappas","-","15-15-0",0.5
"30",1996,"Lee Wilber","-","10-12-0",0.455
"31",1995,"Lee Wilber","-","13-15-0",0.464
"32",1994,"Lee Wilber","-","8-9-0",0.471
"33",1993,"Kelly Mitchell","-","9-7-0",0.562
"34",1992,"Kelly Mitchell","-","7-12-0",0.368
"35",1991,"Kelly Mitchell","-","8-12-0",0.4
