"","season","head_coach","conference","record","win_perc"
"1",2025,"Mavreen Hering","NJAC","13-9-0",0.591
"2",2024,"Mavreen Hering","NJAC","24-17-0",0.585
"3",2023,"Mavreen Hering","NJAC","19-19-0",0.5
"4",2022,"Mavreen Hering","NJAC","24-18-0",0.571
"5",2021,"Mavreen Hering","NJAC","10-18-0",0.357
"6",2020,"Mavreen Hering","NJAC","1-1-0",0.5
"7",2019,"Mavreen Hering","NJAC","22-19-1",0.537
"8",2018,"Mavreen Hering","NJAC","24-17-0",0.585
"9",2017,"Mavreen Hering","NJAC","26-21-1",0.553
"10",2016,"Mavreen Hering","NJAC","32-13-0",0.711
"11",2015,"Val Julien","NJAC","17-18-0",0.486
"12",2014,"Val Julien","NJAC","26-16-0",0.619
"13",2013,"Val Julien","NJAC","33-11-0",0.75
"14",2012,"Val Julien","NJAC","25-15-0",0.625
"15",2011,"Val Julien","NJAC","20-19-0",0.513
"16",2010,"Val Julien","NJAC","28-17-0",0.622
"17",2009,"Val Julien","NJAC","27-15-0",0.643
"18",2008,"Val Julien","NJAC","27-16-0",0.628
"19",2007,"Val Julien","NJAC","24-14-0",0.632
"20",2006,"Val Julien","NJAC","23-20-0",0.535
"21",2005,"Val Julien","NJAC","25-15-0",0.625
"22",2004,"Val Julien","NJAC","18-15-1",0.545
"23",2003,"Val Julien","NJAC","23-15-1",0.605
"24",2002,"Val Julien","NJAC","14-24-0",0.368
"25",2001,"Val Julien","-","13-22-0",0.371
"26",2000,"Val Julien","-","20-16-0",0.556
"27",1999,"Val Julien","-","17-15-0",0.531
"28",1998,"Val Julien","-","16-13-0",0.552
"29",1997,"Val Julien","-","18-13-0",0.581
"30",1996,"Val Julien","-","12-23-0",0.343
"31",1995,"Val Julien","-","13-25-0",0.342
"32",1994,"Val Julien","-","12-18-0",0.4
"33",1993,"Val Julien","-","15-18-0",0.455
"34",1992,"Val Julien","-","9-21-0",0.3
"35",1991,"Val Julien","-","16-18-0",0.471
"36",1990,"Val Julien","-","19-15-0",0.559
"37",1989,"Val Julien","-","7-21-0",0.25
"38",1988,"Val Julien","-","13-22-0",0.371
"39",1987,"Val Julien","-","9-20-0",0.31
