"","season","head_coach","conference","record","win_perc"
"1",2025,"Erin Bly","NSIC","20-27-0",0.426
"2",2024,"Erin Bly","NSIC","20-28-0",0.417
"3",2023,"Shannon Pivovar","NSIC","24-26-0",0.48
"4",2022,"Shannon Pivovar","NSIC","27-25-0",0.519
"5",2021,"Shannon Pivovar","NSIC","23-24-0",0.489
"6",2020,"Shannon Pivovar","NSIC","11-8-0",0.579
"7",2019,"Shannon Pivovar","NSIC","24-30-0",0.444
"8",2018,"Kelsey Thompson","NSIC","31-19-0",0.62
"9",2017,"Kelsey Thompson","NSIC","30-28-0",0.517
"10",2016,"Kelsey Thompson","NSIC","34-20-0",0.63
"11",2015,"Kelsey Thompson","NSIC","32-23-0",0.582
"12",2014,"Kelsey Thompson","NSIC","30-18-0",0.625
"13",2013,"Travis Lape","NSIC","15-27-0",0.357
"14",2012,"Travis Lape","NSIC","15-19-0",0.441
