"","season","head_coach","conference","record","win_perc"
"1",2025,"Breanne Gleason","NEC","10-16-0",0.385
"2",2024,"Breanne Gleason","NEC","28-19-0",0.596
"3",2023,"Breanne Gleason","NEC","21-16-0",0.568
"4",2022,"Breanne Gleason","NEC","8-41-0",0.163
"5",2021,"Breanne Gleason","NEC","23-15-0",0.605
"6",2020,"Breanne Gleason","NEC","1-3-0",0.25
"7",2019,"Breanne Gleason","NEC","17-24-0",0.415
"8",2018,"Breanne Gleason","NEC","19-30-0",0.388
"9",2017,"Breanne Gleason","NEC","15-24-0",0.385
"10",2016,"Breanne Gleason","NEC","18-26-1",0.409
"11",2015,"Breanne Gleason","NEC","31-14-0",0.689
"12",2014,"Breanne Gleason","NEC","29-16-0",0.644
"13",2013,"Jeffrey Franquet","NEC","36-15-0",0.706
"14",2012,"Jeffrey Franquet","NEC","31-19-0",0.62
"15",2011,"Jeffrey Franquet","NEC","29-22-1",0.569
"16",2010,"Jeffrey Franquet","NEC","19-31-0",0.38
"17",2009,"Mandy Roczniak","NEC","9-34-0",0.209
"18",2008,"Mandy Roczniak","NEC","14-25-0",0.359
"19",2007,"Mandy Roczniak","NEC","18-26-0",0.409
"20",2006,"Kelly Rodman","NEC","8-38-0",0.174
"21",2005,"Kelly Rodman","NEC","15-32-0",0.319
"22",2004,"Mandy Roczniak","NEC","9-41-0",0.18
"23",2003,"Mandy Roczniak","NEC","10-35-0",0.222
"24",2002,"Mandy Roczniak","NEC","11-35-1",0.239
"25",2001,"Mandy Roczniak","NEC","10-38-0",0.208
"26",2000,"Ron Pringle","NEC","7-39-0",0.152
"27",1999,"Ron Pringle","NEC","11-37-0",0.229
"28",1998,"Ron Pringle","-","8-34-0",0.19
"29",1997,"Ron Pringle","Summit League","4-35-1",0.103
"30",1996,"Ron Pringle","-","12-36-0",0.25
"31",1995,"Ron Pringle","-","14-43-0",0.246
"32",1994,"Ron Pringle","-","22-24-1",0.478
"33",1993,"Ron Pringle","-","8-20-0",0.286
"34",1992,"Ron Pringle","-","15-26-0",0.366
"35",1991,"Ron Pringle","-","17-25-0",0.405
"36",1990,"Ron Pringle","-","28-14-0",0.667
"37",1989,"Ron Pringle","-","19-17-0",0.528
"38",1988,"Ron Pringle","-","16-24-0",0.4
