"","season","head_coach","conference","record","win_perc"
"1",2025,"Brianna Billie","SWAC","6-19-0",0.24
"2",2024,"Chiqui Fernandez","SWAC","12-33-0",0.267
"3",2023,"Chiqui Fernandez","SWAC","19-30-0",0.388
"4",2022,"Josef Rankin","SWAC","16-32-0",0.333
"5",2021,"Luke Walker","SWAC","14-18-0",0.438
"6",2020,"Josef Rankin","SWAC","5-21-0",0.192
"7",2019,"Josef Rankin","SWAC","14-24-0",0.368
"8",2018,"Josef Rankin","SWAC","14-35-0",0.286
"9",2017,"Josef Rankin","SWAC","16-31-0",0.34
"10",2016,"Josef Rankin","SWAC","18-28-0",0.391
"11",2015,"Jessica Harris","SWAC","2-31-0",0.061
"12",2014,"Jessica Harris","SWAC","0-39-0",0
"13",2013,"Jessica Harris","SWAC","8-33-0",0.195
"14",2012,"Kevin Montgomery","SWAC","8-38-0",0.174
"15",2011,"Kevin Montgomery","SWAC","17-33-0",0.34
"16",2010,"Kevin Montgomery","SWAC","24-28-0",0.462
"17",2009,"Kevin Montgomery","SWAC","22-24-0",0.478
"18",2008,"Kevin Montgomery","SWAC","25-31-0",0.446
"19",2007,"Kevin Montgomery","SWAC","14-38-0",0.269
"20",2006,"Kevin Montgomery","SWAC","20-29-0",0.408
"21",2005,"Telma O'Neal-Hall","SWAC","19-19-0",0.5
"22",2004,"Millicent Van Norden","SWAC","13-23-0",0.361
"23",2003,"Millicent Van Norden","SWAC","2-24-0",0.077
"24",2002,"Millicent Van Norden","SWAC","6-29-0",0.171
"25",2001,"Louis Jones Jr.","SWAC","1-34-0",0.029
"26",2000,"Louis Jones Jr.","SWAC","10-23-0",0.303
"27",1999,"Butch Jones","SWAC","7-25-0",0.219
"28",1998,"Butch Jones","-","17-17-0",0.5
"29",1997,"Butch Jones","SWAC","22-17-0",0.564
