"","season","head_coach","conference","record","win_perc"
"1",2025,"Bruce Anderson","OAC","13-10-0",0.565
"2",2024,"Bruce Anderson","OAC","14-22-0",0.389
"3",2023,"Bruce Anderson","OAC","16-17-1",0.485
"4",2022,"Bruce Anderson","OAC","23-13-0",0.639
"5",2021,"Brooke Donovan","OAC","14-25-0",0.359
"6",2020,"Brooke Donovan","OAC","6-3-0",0.667
"7",2019,"Brooke Donovan","OAC","24-17-0",0.585
"8",2018,"Christine Steines","OAC","32-10-0",0.762
"9",2017,"Christine Steines","OAC","35-8-0",0.814
"10",2016,"Christine Steines","OAC","29-7-2",0.806
"11",2015,"Christine Steines","OAC","14-20-0",0.412
"12",2014,"Christine Steines","OAC","15-20-0",0.429
"13",2013,"Christine Steines","OAC","17-17-0",0.5
"14",2012,"Christine Steines","OAC","26-16-0",0.619
"15",2011,"Christine Steines","OAC","23-15-0",0.605
"16",2010,"Christine Steines","OAC","7-27-0",0.206
"17",2009,"Christine Steines","OAC","18-18-0",0.5
"18",2008,"Deb Torman","OAC","13-23-0",0.361
"19",2007,"Deb Torman","OAC","23-17-0",0.575
"20",2006,"Deb Torman","OAC","20-18-0",0.526
"21",2005,"Deb Torman","OAC","16-16-0",0.5
"22",2004,"Deb Torman","OAC","17-21-0",0.447
"23",2003,"Deb Torman","OAC","24-15-0",0.615
"24",2002,"Deb Torman","OAC","25-13-0",0.658
"25",2001,"Deb Torman","-","19-22-0",0.463
"26",2000,"Deb Torman","-","15-19-0",0.441
"27",1999,"Deb Torman","-","9-28-0",0.243
"28",1998,"Elaine Eddy","-","10-25-0",0.286
"29",1997,"Teri Walter","-","8-27-1",0.229
"30",1996,"Teri Walter","-","9-26-1",0.257
"31",1995,"Teri Walter","-","3-28-0",0.097
"32",1994,"Teri Walter","-","7-25-0",0.219
"33",1993,"Teri Walter","-","6-27-0",0.182
"34",1992,"Teri Walter","-","9-24-1",0.273
"35",1991,"Teri Walter","-","13-27-0",0.325
"36",1990,"Teri Walter","-","8-29-0",0.216
"37",1989,"Teri Walter","-","12-18-0",0.4
"38",1988,"Teri Walter","-","14-18-0",0.438
"39",1987,"Teri Walter","-","10-8-0",0.556
"40",1986,"Teri Walter","-","7-22-1",0.241
