"","team_id","player_id","rank","player","xbh"
"1",110,62294,1,"Delaney Spaulding",43
"2",756,490,2,"Ali Aguilar",40
"3",254,17678,3,"Ivie Drake",39
"4",365,4358,3,"Bianka Bell",39
"5",402,51637,5,"Erika Piancastelli",38
"6",650,44943,6,"Yvon Minogue",37
"7",671,18945,6,"Lexie Elkins",37
"8",37,10056,8,"Emily Carosone",36
"9",257,31229,8,"Alex Hugo",36
"10",418,11587,8,"Kelly Christner",36
"11",493,22880,8,"Cheyenne Garcia",36
"12",671,36920,8,"Shellie Landry",36
"13",418,56391,13,"Sierra Romero",35
"14",648,49681,13,"Alaynie Page",35
"15",8,57071,15,"Marisa Runyon",34
"16",149,47937,16,"Morgan Noad",33
"17",234,69235,16,"Jessie Warren",33
"18",301,19716,16,"Nicole Evans",33
"19",317,20557,16,"Erica Field",33
"20",418,37470,16,"Sierra Lawrence",33
"21",37,13141,21,"Kasey Cooper",32
"22",47,54656,21,"Selena Reyna",32
"23",235,63286,21,"Kelsey Stewart",32
"24",392,58728,21,"Lindsey Schmeiser",32
"25",457,7802,21,"Kristen Brown",32
"26",465,5633,21,"Garie Blando",32
"27",671,28137,21,"Haley Hayden",32
"28",2707,34226,21,"Katie Kelley",32
"29",305,63528,29,"Megan Stone",31
"30",430,59492,29,"Caroline Seitz",31
"31",454,24213,29,"Maggie Glass",31
"32",508,34844,29,"Kellye Kincannon",31
"33",513,1961,29,"Micaela Arizmendi",31
"34",635,68694,29,"Alexis Walkden",31
"35",697,68098,29,"Tori Vidales",31
"36",29,41979,36,"Katiyana Mauga",30
"37",254,38808,36,"Megan Litumbe",30
"38",301,3799,36,"Allie Bauch",30
"39",331,25849,36,"Maddy Grimm",30
"40",472,20662,36,"Fiana Finau",30
"41",508,33166,36,"Brittany Jones",30
"42",674,6195,36,"Kayla Bonstrom",30
"43",758,36347,36,"Alyson Kulp",30
"44",101,30468,44,"Katie Hooper",29
"45",630,31138,44,"Jessie Hufstetler",29
"46",694,25616,44,"Meghan Gregg",29
"47",746,15225,44,"Allison Davis",29
"48",2,28422,48,"Peyton Hedrick",28
"49",365,32349,48,"Sahvanna Jaquish",28
"50",418,64140,48,"Kelsey Susalla",28
"51",434,19847,48,"Sami Fagan",28
"52",626,33400,48,"Kayla Jordan",28
"53",670,49251,48,"Ariel Ortiz",28
"54",671,68241,48,"Kelsey Vincent",28
"55",37,54766,55,"Jade Rhodes",27
"56",47,14773,55,"Emily Dabkowski",27
"57",180,35725,55,"Mariah Kondravy",27
"58",328,7299,55,"Chaley Brickey",27
"59",381,6648,55,"Elena Bowman",27
"60",441,12351,55,"Delene Colburn",27
"61",493,54399,55,"Alyssa Reina",27
"62",545,64891,55,"Mckayla Taylor",27
"63",735,53793,55,"Kaitlyn Ranieri",27
"64",2699,46243,55,"Ali Mosier",27
"65",178,69316,65,"Vanessa Washington",26
"66",299,56415,65,"Regan Romshek",26
"67",363,46709,65,"Emily Murphy",26
"68",392,59099,65,"Corey Schwartz",26
"69",494,27286,65,"Shelby Hard",26
"70",529,13495,65,"Koral Costa",26
"71",576,59595,65,"Dana Sensi",26
"72",695,24601,65,"Carly Gonzales",26
"73",706,8812,65,"Kendall Burton",26
"74",756,62775,65,"Casey Stangel",26
"75",782,21509,65,"Brittany Fortner",26
"76",8,42453,76,"Haylie Mccleney",25
"77",9,71144,76,"Sara beth Williamson",25
"78",14,61848,76,"Elizabeth Snow",25
"79",101,30674,76,"Savannah Horvath",25
"80",110,42000,76,"Gabrielle Maurice",25
"81",283,2713,76,"Caryn Bailey",25
"82",317,47651,76,"Taylor Newton",25
"83",317,21407,76,"Jailyn Ford",25
"84",406,10324,76,"Riley Carter",25
"85",428,25906,76,"Sara Groenewegen",25
"86",463,63474,76,"Kiki Stokes",25
"87",472,294,76,"Emma Adams",25
"88",509,20647,76,"Andrea Filler",25
"89",518,43101,76,"Maddy Mcintyre",25
"90",534,72888,76,"Nicole Zapotoczny",25
"91",609,47746,76,"Alex Nickel",25
"92",655,6216,76,"Sydney Booker",25
"93",660,11025,76,"Haley Chambers-book",25
"94",692,4616,76,"Olivia Bennett",25
"95",703,63096,76,"Lindsey Stephens",25
"96",711,9184,76,"Holiday Cahill",25
"97",782,70918,76,"Cacy Williams",25
"98",14,12235,98,"Maggie Cocks",24
"99",37,19846,98,"Haley Fagan",24
"100",51,22142,98,"Shelby Friudenberg",24
"101",62,9148,98,"Lisa Cadogan",24
"102",87,57612,98,"Brandyce Sallee",24
"103",96,71167,98,"Kierra Willis",24
"104",175,61879,98,"Gabrielle Snyder",24
"105",204,36115,98,"Michelle Kriegshauser",24
"106",231,65163,98,"Stephanie Texeira",24
"107",234,52626,98,"Alex Powers",24
"108",244,5371,98,"Sieara Bishop",24
"109",299,15579,98,"Jordan De los reyes",24
"110",301,65307,98,"Carly Thomas",24
"111",311,9748,98,"Aly Cappaert",24
"112",402,68236,98,"Emily Vincent",24
"113",651,62475,98,"Lee ann Spivey",24
"114",671,13852,98,"Aleah Craighton",24
"115",706,13949,98,"Randee Crawford",24
"116",756,22791,98,"Courtney Gano",24
"117",2699,50387,98,"Roni Patterson",24
"118",10411,4013,98,"Karla Beasley",24
