"","team_id","player_id","rank","player","k_7"
"1",772,11193,1,"Miranda Kramer","12.7"
"2",428,7975,2,"Sara Groenewegen","11.3"
"3",418,1513,3,"Megan Betsa","11.2"
"4",646,2336,4,"Devin Brown","10.9"
"5",331,10227,5,"Emma Johnson","10.9"
"6",493,13619,6,"Krista Menke","10.3"
"7",671,21197,7,"Jordan Wallace","10.0"
"8",529,8666,8,"Cheridan Hawkins"," 9.8"
"9",317,6581,9,"Jailyn Ford"," 9.8"
"10",229,8393,10,"Kylee Hanson"," 9.7"
"11",128,725,11,"Mackenzie Audas"," 9.7"
"12",175,3171,12,"Manda Cash"," 9.6"
"13",579,18803,13,"Nicole Sleith"," 9.2"
"14",189,14732,14,"Nicole Newman"," 9.2"
"15",688,3247,15,"Jocelyn Cater"," 9.0"
"16",128,20596,16,"Shelby Turnier"," 9.0"
"17",380,1821,17,"Alexis Bogdanovich"," 8.8"
"18",590,3001,18,"Jamie Carlson"," 8.7"
"19",692,11928,19,"Danielle Liberatore"," 8.7"
"20",102,2279,20,"Caitlin Brooks"," 8.7"
"21",490,13923,21,"Courtney Mirabella"," 8.7"
"22",559,6211,22,"Lilly Fecho"," 8.5"
"23",742,20615,23,"Maggie Tyler"," 8.5"
"24",509,22179,24,"Kristen Wood"," 8.4"
"25",739,16169,25,"Kate Poppe"," 8.3"
"26",51,19339,26,"Heather Stearns"," 8.3"
"27",234,2647,27,"Jessica Burroughs"," 8.3"
"28",8,15261,28,"Alexis Osorio"," 8.3"
"29",670,17614,29,"Randi Rupp"," 8.2"
"30",236,7348,30,"Rachel Gillen"," 8.2"
"31",110,2968,31,"Ally Carda"," 8.2"
"32",48,6971,32,"Cheyenne Gandara"," 8.1"
"33",202,16052,33,"Leanna Pittsenbarger"," 8.1"
"34",5,18321,34,"Erin Seiler"," 8.1"
"35",235,15053,35,"Aleshia Ocasio"," 8.0"
"36",490,21511,36,"Emily Weiman"," 8.0"
"37",694,6863,37,"Erin Gabriel"," 7.9"
"38",115,883,38,"Katie Baker"," 7.8"
"39",67,6738,39,"Allyson Frei"," 7.8"
"40",234,21135,40,"Lacey Waldrop"," 7.8"
"41",257,21842,41,"Chelsea Wilkinson"," 7.8"
"42",388,5216,42,"Jordan Dixon"," 7.7"
"43",28600,22431,43,"Kelly Young"," 7.7"
"44",255,10983,44,"Kylie Kleinschmidt"," 7.6"
"45",127,13671,45,"Laura Messina"," 7.6"
"46",1004,19617,46,"Kylee Studioso"," 7.5"
"47",352,1197,47,"Emily Bausher"," 7.5"
"48",660,5371,48,"Baylee Douglass"," 7.5"
"49",742,8825,49,"Kelly Heinz"," 7.5"
"50",101,5782,50,"Brianna Elder"," 7.4"
"51",317,7611,51,"Megan Good"," 7.3"
"52",129,11018,52,"Rachel Knapp"," 7.3"
"53",703,22272,53,"Erica Wright"," 7.3"
"54",365,9430,54,"Carley Hoover"," 7.3"
"55",1104,14928,55,"Taylor Nowlin"," 7.2"
"56",603,6715,56,"Tori Free"," 7.2"
"57",522,15509,57,"Paige Parker"," 7.2"
"58",251,9818,58,"Megan Hyson"," 7.2"
"59",283,11580,59,"Morgan Lashley"," 7.2"
"60",14,5584,60,"Devin Durando"," 7.1"
"61",434,12253,61,"Paige Lowary"," 7.1"
"62",115,2818,62,"Julia Callicutt"," 7.1"
"63",610,14321,63,"Katie Moss"," 7.0"
"64",96,3905,64,"Jillian Compton"," 7.0"
"65",77,2532,65,"Mckenna Bull"," 7.0"
"66",189,18103,66,"Rebekah Schmidt"," 6.9"
"67",639,2710,67,"Laura Butts"," 6.9"
"68",706,6737,68,"Kacy Freeze"," 6.9"
"69",694,6871,69,"Rainey Gaffin"," 6.9"
"70",504,17467,70,"Chelsea Ross"," 6.9"
"71",8,10507,71,"Leslie Jury"," 6.8"
"72",175,5906,72,"Kayla English"," 6.8"
"73",148,16444,73,"Alex Radjen"," 6.8"
"74",235,8178,74,"Lauren Haeger"," 6.8"
"75",406,19418,75,"Kirsten Stevens"," 6.6"
"76",328,16002,76,"Alicia Pille"," 6.6"
"77",472,5310,77,"Karysta Donisthorpe"," 6.6"
"78",331,11381,78,"Ronnie Ladines"," 6.6"
"79",414,12107,79,"Amber Logemann"," 6.6"
"80",2699,5977,80,"Emili Escamilla"," 6.6"
"81",513,14590,81,"Rachel Nasland"," 6.6"
"82",99,3690,82,"Christina Clermont"," 6.6"
"83",769,7108,83,"Jordan Garrett"," 6.5"
"84",458,1506,84,"Lexi Betancourt"," 6.5"
"85",758,6481,85,"Macauley Flint"," 6.5"
"86",381,2216,86,"Amy Bright"," 6.5"
"87",10411,18579,87,"Lexi Shubert"," 6.5"
"88",540,1907,88,"Alexis Borden"," 6.5"
"89",669,19604,89,"Erin Struemph"," 6.5"
"90",334,14954,90,"Kelsey Nunley"," 6.4"
"91",430,18635,91,"Alexis Silkwood"," 6.4"
"92",683,4414,92,"Allison Cukrov"," 6.4"
"93",513,16851,93,"Allie Rhodes"," 6.4"
"94",254,22246,94,"Katie Worley"," 6.3"
"95",90,9811,95,"Sierra Hyland"," 6.3"
"96",83,6206,96,"Amanda Fazio"," 6.3"
"97",434,6389,97,"Tori Finucane"," 6.3"
"98",402,20999,98,"Emily Vincent"," 6.3"
"99",587,11458,99,"Alyssa Landrith"," 6.2"
"100",222,16739,100,"Megan Reiner"," 6.2"
