"","team_id","player_id","rank","player","ops"
"1",632,46365,1,"Torrian Wright","1.977"
"2",632,17149,2,"Amber Hallman","1.310"
"3",632,17148,3,"Amanda Hallman","1.070"
"4",632,38958,4,"Alexis Singleton","0.821"
"5",632,24709,5,"Molly Lillis","0.806"
"6",632,42084,6,"Kylie Tierce","0.797"
"7",632,3907,7,"Tia Bolden","0.703"
"8",632,17620,8,"Brianna Harris","0.702"
