"","team_id","player_id","rank","player","rc"
"1",418,17396,1,"Sierra Romero"," 94.20"
"2",254,5412,2,"Ivie Drake"," 92.25"
"3",671,5807,3,"Lexie Elkins"," 91.67"
"4",363,937,4,"Megan Baltzell"," 89.55"
"5",522,3336,5,"Lauren Chamberlain"," 84.70"
"6",37,3023,6,"Emily Carosone"," 83.55"
"7",648,15374,7,"Alaynie Page"," 81.91"
"8",522,15719,8,"Shelby Pendley"," 79.84"
"9",110,19168,9,"Delaney Spaulding"," 79.79"
"10",365,1330,10,"Bianka Bell"," 79.31"
"11",294,6890,11,"Vicky Galasso"," 78.90"
"12",418,3536,12,"Kelly Christner"," 76.35"
"13",402,15954,13,"Erika Piancastelli"," 76.32"
"14",650,13915,14,"Yvon Minogue"," 76.06"
"15",632,22297,15,"Torrian Wright"," 75.58"
"16",148,22194,16,"Cynthia Woodard"," 75.37"
"17",10411,17191,17,"Shellie Robinson"," 74.61"
"18",756,145,18,"Ali Aguilar"," 74.13"
"19",37,4035,19,"Kasey Cooper"," 73.58"
"20",257,9685,20,"Alex Hugo"," 73.50"
"21",587,1157,21,"Jackie Bates"," 72.49"
"22",626,1186,22,"Lorena Bauer"," 70.91"
"23",28,6721,23,"Amber Freeman"," 70.67"
"24",235,19446,24,"Kelsey Stewart"," 70.06"
"25",110,11557,25,"Stephany Larosa"," 69.91"
"26",756,11396,26,"Kylee Lahners"," 68.97"
"27",683,7812,27,"Bria Green"," 68.71"
"28",472,17317,28,"Staci Rodriguez"," 68.57"
"29",8,13136,29,"Haylie Mccleney"," 68.27"
"30",697,20943,30,"Tori Vidales"," 67.50"
"31",29,6640,31,"Kellie Fox"," 67.47"
"32",671,11471,32,"Shellie Landry"," 66.49"
"33",234,21319,33,"Jessie Warren"," 66.37"
"34",493,7006,34,"Cheyenne Garcia"," 66.03"
"35",312,1731,35,"Megan Blank"," 65.49"
"36",381,2011,36,"Elena Bowman"," 65.09"
"37",490,4756,37,"Renada Davis"," 64.83"
"38",630,9647,38,"Jessie Hufstetler"," 64.72"
"39",732,5136,39,"Kate Dickman"," 64.66"
"40",508,10865,40,"Kellye Kincannon"," 64.42"
"41",29,22014,41,"Hallie Wilson"," 64.28"
"42",674,1886,42,"Kayla Bonstrom"," 63.90"
"43",235,8178,43,"Lauren Haeger"," 63.81"
"44",400,5114,44,"Quianna Diaz-patterson"," 63.80"
"45",457,2365,45,"Kristen Brown"," 63.71"
"46",317,6323,46,"Erica Field"," 63.33"
"47",315,1910,47,"Sara Borders"," 63.14"
"48",463,19511,48,"Kiki Stokes"," 62.29"
"49",609,14786,49,"Alex Nickel"," 61.81"
"50",418,11634,50,"Sierra Lawrence"," 61.78"
"51",603,2615,51,"Erin Burner"," 61.77"
"52",107,8857,52,"Danielle Henderson"," 61.67"
"53",671,8688,53,"Haley Hayden"," 61.64"
"54",518,3956,54,"Caitlin Conrad"," 61.38"
"55",29,12996,55,"Katiyana Mauga"," 61.32"
"56",149,14850,56,"Morgan Noad"," 60.48"
"57",301,1183,57,"Allie Bauch"," 60.39"
"58",626,10459,58,"Kayla Jordan"," 60.36"
"59",465,1728,59,"Garie Blando"," 60.21"
"60",650,10414,60,"Matley Jones"," 60.06"
"61",305,19521,61,"Megan Stone"," 60.05"
"62",48,3527,62,"Marci Christian"," 60.00"
"63",388,22545,63,"Morgan Zerkle"," 59.95"
"64",328,2199,64,"Chaley Brickey"," 59.65"
"65",283,845,65,"Caryn Bailey"," 59.62"
"66",254,289,66,"Callie Alford"," 58.97"
"67",513,8650,67,"Katey Haus"," 58.88"
"68",101,9423,68,"Katie Hooper"," 58.59"
"69",2,8789,69,"Peyton Hedrick"," 58.27"
"70",503,7710,70,"Kayti Grable"," 58.14"
"71",782,6606,71,"Brittany Fortner"," 57.88"
"72",472,6361,72,"Fiana Finau"," 57.78"
"73",110,1394,73,"Allexis Bennett"," 57.71"
"74",735,16566,74,"Kaitlyn Ranieri"," 57.66"
"75",497,18125,75,"Taylor Schoblocher"," 57.49"
"76",513,11089,76,"Emilee Koerner"," 57.44"
"77",231,20028,77,"Stephanie Texeira"," 57.25"
"78",254,12052,78,"Megan Litumbe"," 57.20"
"79",2707,10678,79,"Katie Kelley"," 56.72"
"80",529,11960,80,"Jenna Lilley"," 56.71"
"81",635,21143,81,"Alexis Walkden"," 56.56"
"82",418,19690,82,"Kelsey Susalla"," 56.49"
"83",317,6581,83,"Jailyn Ford"," 56.10"
"84",8,17611,84,"Marisa Runyon"," 55.66"
"85",457,21792,85,"Taylor Wike"," 55.62"
"86",463,11045,86,"Mj Knighten"," 55.46"
"87",392,18090,87,"Lindsey Schmeiser"," 55.43"
"88",434,6122,88,"Sami Fagan"," 55.18"
"89",654,6607,89,"Kayla Fortner"," 55.03"
"90",29,7614,90,"Chelsea Goodacre"," 54.98"
"91",331,7957,91,"Maddy Grimm"," 54.93"
"92",365,11465,92,"Bailey Landry"," 54.74"
"93",706,12251,93,"Megan Low"," 54.72"
"94",149,8689,94,"Kory Hayden"," 54.65"
"95",522,13804,95,"Erin Miller"," 54.59"
"96",794,14014,96,"Hailey Mohrfeld"," 54.39"
"97",758,11297,97,"Alyson Kulp"," 54.34"
"98",37,9557,98,"Tiffany Howard"," 54.18"
"99",294,2621,99,"Kacie Burnett"," 54.14"
"100",110,13002,100,"Gabrielle Maurice"," 53.99"
