"","team_id","player_id","rank","player","hr"
"1",734,57783,1,"Nikki Pennington",24
"2",423,80563,2,"Faith Willenbrock",21
"3",41,56767,3,"Mary Pardo",20
"4",734,33556,3,"Morgan Hill",20
"5",11416,69814,5,"Ellie Smith",19
"6",30052,69043,5,"Margaret Simmons",19
"7",638,46881,7,"Hannah Marsteller",18
"8",734,63029,7,"Kiley Robb",18
"9",159,15021,9,"Hannah rose Corbin",15
"10",159,21700,9,"Morgan Elston",15
"11",1009,31212,9,"Shayla Harper",15
"12",11403,45119,9,"Piper Lujan",15
"13",30137,10246,9,"Bailey Byers",15
"14",246,72031,14,"Kaity Stocker",14
"15",280,12174,14,"Sam Catron",14
"16",309,17042,14,"Taylor Danielson",14
"17",734,25898,14,"Aniston Gano",14
"18",734,33545,14,"Logan Hill",14
"19",9754,65992,14,"Brianna Santos",14
"20",30052,30703,14,"Shelby Hammontree",14
"21",262,34392,21,"Nikoma Holmen",13
"22",339,43952,21,"Jenna Lipowski",13
"23",507,79344,21,"Kaitlin Weis",13
"24",790,53975,21,"Libby Neveau",13
"25",1001,17740,21,"Jordan Dean",13
"26",11403,50474,21,"Kenzie Middleton",13
"27",30119,20023,21,"Braxton Downs",13
"28",30154,75178,21,"Jill Torres",13
"29",10,714,29,"Kiara Akles",12
"30",25,23186,29,"Madison Fernanadez",12
"31",307,4802,29,"Kaitlyn Beers",12
"32",568,44245,29,"Jade Loe",12
"33",591,52693,29,"Blasia Moyler",12
"34",1009,51085,29,"Jacee Minter",12
"35",1170,43301,29,"Kylee Leonhardt",12
"36",1176,58359,29,"Audrey Petoskey",12
"37",1257,75283,29,"Hannah Towery",12
"38",1274,49404,29,"Maia Mcnicoll",12
"39",1438,19769,29,"Kat Donzella",12
"40",8736,75008,29,"Kali Tomlinson",12
"41",9754,47244,29,"Solana Martinez",12
"42",11740,81055,29,"Kara Wilson",12
"43",13028,6619,29,"Kayson Boatner",12
"44",30093,46954,29,"Gia Martin",12
"45",30137,5708,29,"Lexi Betz",12
"46",205,23635,46,"Brittanee Fisher",11
"47",246,73398,46,"Maria Taliani",11
"48",339,35411,46,"Brianna Hughes",11
"49",423,6438,46,"Rebecca Blatt",11
"50",427,74256,46,"Jordyn Thomas",11
"51",507,17147,46,"Olivia Daugherty",11
"52",767,65522,46,"Ruby Salzman",11
"53",767,76547,46,"Gabriella Valforte",11
"54",996,13078,46,"Callie Christensen",11
"55",2814,25091,46,"Ashton Friend",11
"56",8577,28035,46,"Carlee Gonzalez",11
"57",8744,24786,46,"Hannah Franklin",11
"58",9081,5613,46,"Grace Beseman",11
"59",10870,17311,46,"Cameron Davis",11
"60",12810,15928,46,"Alyssia Crick",11
"61",12810,7825,46,"Rhomie Bradshaw",11
"62",30063,69441,46,"Christiana Skrabak",11
"63",30090,2361,46,"Briana Arredondo",11
"64",30152,66164,46,"Mahina Sauer",11
"65",30154,68585,46,"Haylie Shope",11
"66",30180,78905,46,"Elexis Watson",11
"67",30180,7550,46,"Makayla Bowman",11
"68",41,43673,68,"Abby Lien",10
"69",41,13229,68,"Torri Chute",10
"70",155,42258,68,"Clara Larson",10
"71",241,33670,68,"Gina Hinckley",10
"72",309,61631,68,"Lexy Rees",10
"73",383,54289,68,"Sydney Nielsen",10
"74",423,1852,68,"Aleese Angelo",10
"75",427,55267,68,"Lauren Oberle",10
"76",584,57452,68,"Chelsea Peace",10
"77",638,15634,68,"Courtney Coy",10
"78",734,15760,68,"Lacey Crandall",10
"79",765,40645,68,"Trisha Kopinetz",10
"80",799,1012,68,"Megan Aliverti",10
"81",929,32083,68,"Tyler Hays",10
"82",947,423,68,"Makenzie Addis",10
"83",1083,42725,68,"Brianna Leavell",10
"84",1238,11224,68,"Hannah Carey",10
"85",1274,34541,68,"Ivy Hommel",10
"86",1328,46672,68,"Lauren Marks",10
"87",1346,11390,68,"Abigale Carney",10
"88",1371,45953,68,"Cheyenne Mahy",10
"89",1460,17253,68,"Annie Davila",10
"90",9223,49466,68,"Brianna Mcrae",10
"91",11403,61411,68,"Sydney Reamer",10
"92",11416,13098,68,"Nicole Christensen",10
"93",12830,28655,68,"Alexis Grampp",10
"94",30028,46543,68,"Amanda Marek",10
"95",30093,13840,68,"Molly Cobb",10
"96",41,82570,96,"Delaney Young",9
"97",41,15151,96,"Kendall Cornick",9
"98",309,55001,96,"Emily O'connor",9
"99",309,35980,96,"Gianni Iannantone",9
"100",423,75974,96,"Gabi Turner",9
"101",436,16867,96,"Corinne Daley",9
"102",537,9073,96,"Tatum Brummitt",9
"103",598,22251,96,"Jasmin Estrada",9
"104",696,27982,96,"Kayla Gonzales",9
"105",728,16011,96,"Katie Crogan",9
"106",996,12072,96,"Haley Castle",9
"107",1000,70066,96,"Shannon Smith",9
"108",1083,32311,96,"Mckenna Hefley",9
"109",1156,28410,96,"Katie Gosker",9
"110",1199,42033,96,"Maggie Langheim",9
"111",1199,22331,96,"Ashley Evans",9
"112",1257,69103,96,"Haley Simonds",9
"113",1274,7091,96,"Sidney Booth",9
"114",1348,18224,96,"Carissa Della vecchia",9
"115",1376,22902,96,"Elisa Favela",9
"116",9004,37775,96,"Jayda Jones",9
"117",11740,59334,96,"Jacquelynne Poling",9
"118",30002,70853,96,"Carly Sperlich",9
"119",30052,69037,96,"Madison Simmons",9
"120",30054,76191,96,"Taylor Ullery",9
"121",30141,63440,96,"Jessie Rock",9
"122",30181,50577,96,"Alexis Miles",9
"123",30199,53886,96,"Missy Nemeth",9
