"","team_id","player_id","rank","player","hr_a"
"1",2711,617,1,"Halle Arends",2
"2",497,21179,1,"Georgia Wall",2
"3",600,20912,3,"Grace Vesco",3
"4",193,21240,3,"Shelby Walters",3
"5",494,10390,3,"Jannay Jones",3
"6",418,1253,6,"Meghan Beaubien",4
"7",562,22130,6,"Julia Woeste",4
"8",817,12350,6,"Maddi Lusk",4
"9",2711,3660,6,"Morgan Clausen",4
"10",600,12739,6,"Rachel Marsden",4
"11",419,906,6,"Amber Baldwin",4
"12",112,21250,6,"Robyn Wampler",4
"13",683,16457,6,"Melissa Rahrich",4
"14",651,4102,14,"Georgina Corrick",5
"15",68,5458,14,"Ali Dubois",5
"16",796,18199,14,"Maddie Schwartz",5
"17",439,9879,14,"Alyssa Irons",5
"18",110,7044,14,"Rachel Garcia",5
"19",670,10894,14,"Meagan King",5
"20",285,14667,14,"Kelly Nelson",5
"21",180,22058,14,"Emily Winburn",5
"22",794,947,14,"Brittany Baneck",5
"23",299,11827,14,"Mack Leonard",5
"24",514,2877,24,"Sydney Campbell",6
"25",97,6792,24,"Sophie Frost",6
"26",513,9345,24,"Alexis Holloway",6
"27",695,7976,24,"Alexis Groet",6
"28",699,16806,24,"Naomi Reyes",6
"29",198,18096,24,"Kelly Schmidt",6
"30",381,21925,24,"Nicole Williams",6
"31",414,16247,24,"Brianna Pratt",6
"32",627,5648,24,"Madison Earnshaw",6
"33",2743,8095,24,"Annie Gunther",6
"34",416,13786,24,"Ashley Miller",6
"35",664,11781,24,"Morgan Leinstock",6
"36",772,14956,24,"Shelby Nunn",6
"37",676,21800,37,"Kassidy Wilbur",7
"38",147,2761,37,"Valerie Cagle",7
"39",67,500,37,"Susannah Anderson",7
"40",201,14074,37,"Jade Montgomery",7
"41",518,2576,37,"Payton Buresch",7
"42",28755,13665,37,"Marissa Mesiemore",7
"43",47,10368,37,"Deborah Jones",7
"44",287,15566,37,"Jessica Patak",7
"45",302,8358,37,"Marley Hanlon",7
"46",312,5323,37,"Allison Doocy",7
"47",249,21474,37,"Faith Weber",7
"48",316,1591,48,"Alyssa Bilodeau",8
"49",234,17837,48,"Kathryn Sandercock",8
"50",1004,1260,48,"Kayla Beaver",8
"51",433,1914,48,"Anna Borgen",8
"52",497,20413,48,"Hope Trautwein",8
"53",99,21699,48,"Kellie White",8
"54",175,2537,48,"Addy Bullis",8
"55",366,15962,48,"Audrey Pickett",8
"56",202,15882,48,"Tori Peterson",8
"57",308,6106,48,"Shaina Eyre",8
"58",283,2634,48,"Madison Burns",8
"59",87,16944,48,"Karli Ricketts",8
"60",28755,11656,48,"Sarah Lawton",8
"61",8,10837,48,"Lexi Kilfoyl",8
"62",236,728,48,"Madie Aughinbaugh",8
"63",352,14884,48,"Gabriella Nori",8
"64",306,7621,64,"Emily Goodin",9
"65",37,12259,64,"Shelby Lowe",9
"66",655,22590,64,"Heather Zumo",9
"67",454,10003,64,"Hannah James",9
"68",418,19528,64,"Alex Storako",9
"69",115,997,64,"Georgeanna Barefoot",9
"70",660,791,64,"Sydney Baalman",9
"71",14,8305,64,"Wendi Hammond",9
"72",454,20853,64,"Jenna Veber",9
"73",579,20832,64,"Dana Vatakis",9
"74",457,15963,64,"Brittany Pickett",9
"75",305,18113,64,"Gabbi Schnaiter",9
"76",463,6305,64,"Olivia Ferrell",9
"77",428,15669,64,"Autumn Pease",9
"78",90,347,64,"Krystyna Allman",9
"79",748,8595,64,"Eve Harvey",9
"80",758,16509,64,"Mariah Ramirez",9
"81",312,11770,64,"Sarah Lehman",9
"82",115,16900,64,"Megan Richards",9
"83",674,20844,83,"Alana Vawter",10
"84",249,11498,83,"Sierra Lange",10
"85",428,6394,83,"Amber Fiser",10
"86",563,12883,83,"Jessie Marvin",10
"87",391,4056,83,"Courtney Coppersmith",10
"88",355,10930,83,"Emily Kirby",10
"89",649,11034,83,"Tori Kniesche",10
"90",650,12036,83,"Sarah Lisko",10
"91",235,12313,83,"Natalie Lugo",10
"92",521,13013,83,"Kelly Maxwell",10
"93",732,17867,83,"Sydney Sandez",10
"94",1356,12468,83,"Stefanie Madrigal",10
"95",669,5129,83,"Steffany Dickerson",10
"96",346,13985,83,"Shelby Mixon",10
"97",47,14237,83,"Tieghan Morio",10
"98",9,22204,83,"Amy Woodham",10
"99",8,6627,99,"Montana Fouts",11
"100",96,5263,99,"Hailey Dolcini",11
"101",235,9099,99,"Elizabeth Hightower",11
"102",402,19882,99,"Whitney Tate",11
"103",355,10643,99,"Karlie Keeney",11
"104",310,22524,99,"Kara Zazzaro",11
"105",27,12144,99,"Kenzie Longanecker",11
"106",2699,19209,99,"Jennah Speth",11
"107",302,20325,99,"Christina Toniolo",11
"108",110,6159,99,"Megan Faraimo",11
"109",697,9024,99,"Makinzy Herzog",11
"110",678,19984,99,"Chloe Temples",11
"111",6,3749,99,"Esperanza Coe",11
"112",317,277,99,"Odicci Alexander",11
"113",625,1051,99,"Emily Barnett",11
"114",315,17306,99,"Nicole Rodriguez",11
"115",402,5732,99,"Jenna Edwards",11
"116",361,22225,99,"Tallie Woodson",11
"117",746,9513,99,"Mikayla Houge",11
